local_datetime,corridor_id,direction,average_delay,average_traveltime,average_speed
9/1/2024 0:00,ave52_to_calleTampico,NB,0.07,0.48,35.8
9/1/2024 0:00,calleTampico_to_ave52,SB,0.09,0.53,29.8
9/1/2024 1:00,ave52_to_calleTampico,NB,0,0.38,43.3
9/1/2024 1:00,calleTampico_to_ave52,SB,0.05,0.47,33.2
9/1/2024 2:00,ave52_to_calleTampico,NB,0.01,0.4,40.9
9/1/2024 2:00,calleTampico_to_ave52,SB,0.03,0.47,33.7
9/1/2024 3:00,ave52_to_calleTampico,NB,0.05,0.43,40.6
9/1/2024 3:00,calleTampico_to_ave52,SB,0.07,0.51,31.5
9/1/2024 4:00,ave52_to_calleTampico,NB,0.01,0.36,45.8
9/1/2024 4:00,calleTampico_to_ave52,SB,0.04,0.46,34.6
9/1/2024 5:00,ave52_to_calleTampico,NB,0.01,0.4,41.3
9/1/2024 5:00,calleTampico_to_ave52,SB,0.07,0.46,35.1
9/1/2024 6:00,ave52_to_calleTampico,NB,0.01,0.4,41.1
9/1/2024 6:00,calleTampico_to_ave52,SB,0.1,0.52,30.2
9/1/2024 7:00,ave52_to_calleTampico,NB,0.08,0.51,33.3
9/1/2024 7:00,calleTampico_to_ave52,SB,0.04,0.43,36.7
9/1/2024 8:00,ave52_to_calleTampico,NB,0.13,0.59,28.3
9/1/2024 8:00,calleTampico_to_ave52,SB,0.05,0.45,36.2
9/1/2024 9:00,ave52_to_calleTampico,NB,0.03,0.43,38.3
9/1/2024 9:00,calleTampico_to_ave52,SB,0.1,0.53,29.8
9/1/2024 10:00,ave52_to_calleTampico,NB,0.09,0.52,33.2
9/1/2024 10:00,calleTampico_to_ave52,SB,0.04,0.46,34.3
9/1/2024 11:00,ave52_to_calleTampico,NB,0.14,0.56,31.7
9/1/2024 11:00,calleTampico_to_ave52,SB,0.06,0.49,31.9
9/1/2024 12:00,ave52_to_calleTampico,NB,0.08,0.51,33.4
9/1/2024 12:00,calleTampico_to_ave52,SB,0.09,0.52,30.3
9/1/2024 13:00,ave52_to_calleTampico,NB,0.09,0.51,33.1
9/1/2024 13:00,calleTampico_to_ave52,SB,0.03,0.46,34.1
9/1/2024 14:00,ave52_to_calleTampico,NB,0.13,0.56,30.9
9/1/2024 14:00,calleTampico_to_ave52,SB,0.07,0.51,31.2
9/1/2024 15:00,ave52_to_calleTampico,NB,0.23,0.67,26
9/1/2024 15:00,calleTampico_to_ave52,SB,0.03,0.44,35.4
9/1/2024 16:00,ave52_to_calleTampico,NB,0.2,0.65,27.4
9/1/2024 16:00,calleTampico_to_ave52,SB,0.06,0.48,32.5
9/1/2024 17:00,ave52_to_calleTampico,NB,0.08,0.52,32.8
9/1/2024 17:00,calleTampico_to_ave52,SB,0.07,0.51,30.7
9/1/2024 18:00,ave52_to_calleTampico,NB,0.22,0.67,25.3
9/1/2024 18:00,calleTampico_to_ave52,SB,0.12,0.56,27.9
9/1/2024 19:00,ave52_to_calleTampico,NB,0.17,0.63,27.2
9/1/2024 19:00,calleTampico_to_ave52,SB,0.14,0.58,27
9/1/2024 20:00,ave52_to_calleTampico,NB,0.23,0.69,24.6
9/1/2024 20:00,calleTampico_to_ave52,SB,0.12,0.57,27.7
9/1/2024 21:00,ave52_to_calleTampico,NB,0.27,0.72,23.7
9/1/2024 21:00,calleTampico_to_ave52,SB,0.09,0.52,30.1
9/1/2024 22:00,ave52_to_calleTampico,NB,0.01,0.41,39.8
9/1/2024 22:00,calleTampico_to_ave52,SB,0.03,0.46,34
9/1/2024 23:00,ave52_to_calleTampico,NB,0.07,0.46,37.2
9/1/2024 23:00,calleTampico_to_ave52,SB,0.07,0.5,31.5
9/2/2024 0:00,ave52_to_calleTampico,NB,0.03,0.41,39.9
9/2/2024 0:00,calleTampico_to_ave52,SB,0.15,0.59,26.8
9/2/2024 1:00,ave52_to_calleTampico,NB,0.04,0.43,38.6
9/2/2024 1:00,calleTampico_to_ave52,SB,0.07,0.48,33.4
9/2/2024 2:00,ave52_to_calleTampico,NB,0,0.37,44.3
9/2/2024 2:00,calleTampico_to_ave52,SB,0.01,0.42,37.3
9/2/2024 3:00,ave52_to_calleTampico,NB,0.01,0.37,44.1
9/2/2024 3:00,calleTampico_to_ave52,SB,0,0.37,42.5
9/2/2024 4:00,ave52_to_calleTampico,NB,0,0.39,42.3
9/2/2024 4:00,calleTampico_to_ave52,SB,0.04,0.42,38.2
9/2/2024 5:00,ave52_to_calleTampico,NB,0.01,0.38,43
9/2/2024 5:00,calleTampico_to_ave52,SB,0.04,0.44,36
9/2/2024 6:00,ave52_to_calleTampico,NB,0.03,0.44,38.2
9/2/2024 6:00,calleTampico_to_ave52,SB,0.05,0.47,33.8
9/2/2024 7:00,ave52_to_calleTampico,NB,0.02,0.43,38.6
9/2/2024 7:00,calleTampico_to_ave52,SB,0,0.41,38.6
9/2/2024 8:00,ave52_to_calleTampico,NB,0.22,0.67,25.8
9/2/2024 8:00,calleTampico_to_ave52,SB,0.11,0.53,30.6
9/2/2024 9:00,ave52_to_calleTampico,NB,0.04,0.45,37.9
9/2/2024 9:00,calleTampico_to_ave52,SB,0.11,0.53,30
9/2/2024 10:00,ave52_to_calleTampico,NB,0.05,0.49,34.3
9/2/2024 10:00,calleTampico_to_ave52,SB,0.09,0.51,31.1
9/2/2024 11:00,ave52_to_calleTampico,NB,0.19,0.63,28.3
9/2/2024 11:00,calleTampico_to_ave52,SB,0.17,0.59,27.5
9/2/2024 12:00,ave52_to_calleTampico,NB,0.2,0.64,27.5
9/2/2024 12:00,calleTampico_to_ave52,SB,0.03,0.46,34.7
9/2/2024 13:00,ave52_to_calleTampico,NB,0.11,0.55,31.5
9/2/2024 13:00,calleTampico_to_ave52,SB,0.03,0.46,34.3
9/2/2024 14:00,ave52_to_calleTampico,NB,0.17,0.6,28.6
9/2/2024 14:00,calleTampico_to_ave52,SB,0.1,0.53,29.5
9/2/2024 15:00,ave52_to_calleTampico,NB,0.08,0.51,34.2
9/2/2024 15:00,calleTampico_to_ave52,SB,0.03,0.46,34.3
9/2/2024 16:00,ave52_to_calleTampico,NB,0.06,0.49,34.8
9/2/2024 16:00,calleTampico_to_ave52,SB,0.09,0.53,29.8
9/2/2024 17:00,ave52_to_calleTampico,NB,0.12,0.57,30.4
9/2/2024 17:00,calleTampico_to_ave52,SB,0.04,0.47,33.3
9/2/2024 18:00,ave52_to_calleTampico,NB,0.26,0.71,25.2
9/2/2024 18:00,calleTampico_to_ave52,SB,0.04,0.48,33.2
9/2/2024 19:00,ave52_to_calleTampico,NB,0.1,0.52,34.1
9/2/2024 19:00,calleTampico_to_ave52,SB,0.04,0.47,33.6
9/2/2024 20:00,ave52_to_calleTampico,NB,0.11,0.56,29.8
9/2/2024 20:00,calleTampico_to_ave52,SB,0.1,0.54,29.1
9/2/2024 21:00,ave52_to_calleTampico,NB,0.04,0.46,35.9
9/2/2024 21:00,calleTampico_to_ave52,SB,0.05,0.48,32.9
9/2/2024 22:00,ave52_to_calleTampico,NB,0.04,0.49,34.2
9/2/2024 22:00,calleTampico_to_ave52,SB,0.04,0.47,33.2
9/2/2024 23:00,ave52_to_calleTampico,NB,0.01,0.42,39.7
9/2/2024 23:00,calleTampico_to_ave52,SB,0.07,0.5,31.6
9/3/2024 0:00,ave52_to_calleTampico,NB,0,0.39,42.2
9/3/2024 0:00,calleTampico_to_ave52,SB,0.05,0.49,32.2
9/3/2024 1:00,ave52_to_calleTampico,NB,0.02,0.41,39.8
9/3/2024 1:00,calleTampico_to_ave52,SB,0.02,0.42,38
9/3/2024 2:00,ave52_to_calleTampico,NB,0,0.37,44.4
9/3/2024 2:00,calleTampico_to_ave52,SB,0.01,0.39,40.5
9/3/2024 3:00,ave52_to_calleTampico,NB,0.01,0.37,45.3
9/3/2024 3:00,calleTampico_to_ave52,SB,0.01,0.38,41.9
9/3/2024 4:00,ave52_to_calleTampico,NB,0.03,0.42,39.2
9/3/2024 4:00,calleTampico_to_ave52,SB,0.05,0.45,36.2
9/3/2024 5:00,ave52_to_calleTampico,NB,0.05,0.46,37.1
9/3/2024 5:00,calleTampico_to_ave52,SB,0.14,0.56,28.9
9/3/2024 6:00,ave52_to_calleTampico,NB,0.08,0.51,33.3
9/3/2024 6:00,calleTampico_to_ave52,SB,0.09,0.5,31.6
9/3/2024 7:00,ave52_to_calleTampico,NB,0.1,0.53,32.2
9/3/2024 7:00,calleTampico_to_ave52,SB,0.19,0.63,25.5
9/3/2024 8:00,ave52_to_calleTampico,NB,0.21,0.66,25.5
9/3/2024 8:00,calleTampico_to_ave52,SB,0.08,0.52,30.5
9/3/2024 9:00,ave52_to_calleTampico,NB,0.23,0.68,26.3
9/3/2024 9:00,calleTampico_to_ave52,SB,0.13,0.57,27.5
9/3/2024 10:00,ave52_to_calleTampico,NB,0.1,0.54,31.6
9/3/2024 10:00,calleTampico_to_ave52,SB,0.09,0.53,29.9
9/3/2024 11:00,ave52_to_calleTampico,NB,0.16,0.6,29.4
9/3/2024 11:00,calleTampico_to_ave52,SB,0.07,0.5,31.3
9/3/2024 12:00,ave52_to_calleTampico,NB,0.24,0.68,26.2
9/3/2024 12:00,calleTampico_to_ave52,SB,0.12,0.54,30.5
9/3/2024 13:00,ave52_to_calleTampico,NB,0.21,0.64,28.9
9/3/2024 13:00,calleTampico_to_ave52,SB,0.09,0.53,30
9/3/2024 14:00,ave52_to_calleTampico,NB,0.25,0.71,23.2
9/3/2024 14:00,calleTampico_to_ave52,SB,0.11,0.54,30.6
9/3/2024 15:00,ave52_to_calleTampico,NB,0.16,0.59,28.6
9/3/2024 15:00,calleTampico_to_ave52,SB,0.03,0.45,35.1
9/3/2024 16:00,ave52_to_calleTampico,NB,0.1,0.52,32.6
9/3/2024 16:00,calleTampico_to_ave52,SB,0.06,0.51,31
9/3/2024 17:00,ave52_to_calleTampico,NB,0.1,0.52,33.4
9/3/2024 17:00,calleTampico_to_ave52,SB,0.05,0.48,32.8
9/3/2024 18:00,ave52_to_calleTampico,NB,0.16,0.57,32.9
9/3/2024 18:00,calleTampico_to_ave52,SB,0.06,0.49,32.2
9/3/2024 19:00,ave52_to_calleTampico,NB,0.13,0.58,29.2
9/3/2024 19:00,calleTampico_to_ave52,SB,0.04,0.48,33
9/3/2024 20:00,ave52_to_calleTampico,NB,0.15,0.59,30.4
9/3/2024 20:00,calleTampico_to_ave52,SB,0.12,0.56,28.5
9/3/2024 21:00,ave52_to_calleTampico,NB,0.05,0.5,33.1
9/3/2024 21:00,calleTampico_to_ave52,SB,0.13,0.57,27.7
9/3/2024 22:00,ave52_to_calleTampico,NB,0.09,0.54,31.3
9/3/2024 22:00,calleTampico_to_ave52,SB,0.04,0.46,34.8
9/3/2024 23:00,ave52_to_calleTampico,NB,0.01,0.4,40.7
9/3/2024 23:00,calleTampico_to_ave52,SB,0.06,0.49,32.3
9/4/2024 0:00,ave52_to_calleTampico,NB,0.01,0.39,42.6
9/4/2024 0:00,calleTampico_to_ave52,SB,0.01,0.42,37.7
9/4/2024 1:00,ave52_to_calleTampico,NB,0.02,0.39,42.8
9/4/2024 1:00,calleTampico_to_ave52,SB,0.03,0.45,35.7
9/4/2024 2:00,ave52_to_calleTampico,NB,0,0.36,46.1
9/4/2024 2:00,calleTampico_to_ave52,SB,0.03,0.41,38.9
9/4/2024 3:00,ave52_to_calleTampico,NB,0,0.35,47.3
9/4/2024 3:00,calleTampico_to_ave52,SB,0.01,0.37,42.4
9/4/2024 4:00,ave52_to_calleTampico,NB,0,0.36,45.3
9/4/2024 4:00,calleTampico_to_ave52,SB,0.03,0.43,37.5
9/4/2024 5:00,ave52_to_calleTampico,NB,0.01,0.41,40.5
9/4/2024 5:00,calleTampico_to_ave52,SB,0.06,0.46,34.5
9/4/2024 6:00,ave52_to_calleTampico,NB,0.11,0.54,32
9/4/2024 6:00,calleTampico_to_ave52,SB,0.1,0.51,30.7
9/4/2024 7:00,ave52_to_calleTampico,NB,0.2,0.66,26.3
9/4/2024 7:00,calleTampico_to_ave52,SB,0.1,0.54,29.6
9/4/2024 8:00,ave52_to_calleTampico,NB,0.14,0.58,29.7
9/4/2024 8:00,calleTampico_to_ave52,SB,0.22,0.65,25.4
9/4/2024 9:00,ave52_to_calleTampico,NB,0.16,0.58,30.2
9/4/2024 9:00,calleTampico_to_ave52,SB,0.09,0.52,30.5
