local_datetime,corridor_id,direction,average_delay,average_traveltime,average_speed
9/1/2024 0:00,calletampico_to_villageshoppingctr,NB,0,0.19,45.5
9/1/2024 0:00,villageshoppingctr_to_calletampico,SB,0.02,0.26,34.3
9/1/2024 1:00,calletampico_to_villageshoppingctr,NB,0.1,0.3,34.4
9/1/2024 1:00,villageshoppingctr_to_calletampico,SB,0,0.23,37.2
9/1/2024 2:00,calletampico_to_villageshoppingctr,NB,0.01,0.2,43.9
9/1/2024 2:00,villageshoppingctr_to_calletampico,SB,0.01,0.23,37.4
9/1/2024 3:00,calletampico_to_villageshoppingctr,NB,0.05,0.25,39.5
9/1/2024 3:00,villageshoppingctr_to_calletampico,SB,0.06,0.28,33.1
9/1/2024 4:00,calletampico_to_villageshoppingctr,NB,0,0.17,51.6
9/1/2024 4:00,villageshoppingctr_to_calletampico,SB,0.04,0.26,34.4
9/1/2024 5:00,calletampico_to_villageshoppingctr,NB,0,0.18,47.5
9/1/2024 5:00,villageshoppingctr_to_calletampico,SB,0.01,0.2,43.6
9/1/2024 6:00,calletampico_to_villageshoppingctr,NB,0,0.17,49.5
9/1/2024 6:00,villageshoppingctr_to_calletampico,SB,0,0.21,40.4
9/1/2024 7:00,calletampico_to_villageshoppingctr,NB,0,0.19,45.7
9/1/2024 7:00,villageshoppingctr_to_calletampico,SB,0.02,0.26,33.4
9/1/2024 8:00,calletampico_to_villageshoppingctr,NB,0.05,0.25,40.6
9/1/2024 8:00,villageshoppingctr_to_calletampico,SB,0,0.22,39.5
9/1/2024 9:00,calletampico_to_villageshoppingctr,NB,0.02,0.21,42.4
9/1/2024 9:00,villageshoppingctr_to_calletampico,SB,0.01,0.23,38
9/1/2024 10:00,calletampico_to_villageshoppingctr,NB,0.01,0.2,44.3
9/1/2024 10:00,villageshoppingctr_to_calletampico,SB,0.02,0.25,34.8
9/1/2024 11:00,calletampico_to_villageshoppingctr,NB,0,0.2,43.5
9/1/2024 11:00,villageshoppingctr_to_calletampico,SB,0.04,0.28,33.4
9/1/2024 12:00,calletampico_to_villageshoppingctr,NB,0,0.19,45.2
9/1/2024 12:00,villageshoppingctr_to_calletampico,SB,0.02,0.25,34.6
9/1/2024 13:00,calletampico_to_villageshoppingctr,NB,0.01,0.21,42
9/1/2024 13:00,villageshoppingctr_to_calletampico,SB,0.01,0.25,35.5
9/1/2024 14:00,calletampico_to_villageshoppingctr,NB,0,0.2,43.6
9/1/2024 14:00,villageshoppingctr_to_calletampico,SB,0.01,0.25,35.3
9/1/2024 15:00,calletampico_to_villageshoppingctr,NB,0.03,0.22,42.8
9/1/2024 15:00,villageshoppingctr_to_calletampico,SB,0.01,0.24,35.7
9/1/2024 16:00,calletampico_to_villageshoppingctr,NB,0.07,0.28,35.8
9/1/2024 16:00,villageshoppingctr_to_calletampico,SB,0.02,0.24,36.5
9/1/2024 17:00,calletampico_to_villageshoppingctr,NB,0.01,0.22,41
9/1/2024 17:00,villageshoppingctr_to_calletampico,SB,0.03,0.26,34
9/1/2024 18:00,calletampico_to_villageshoppingctr,NB,0.02,0.24,36
9/1/2024 18:00,villageshoppingctr_to_calletampico,SB,0.1,0.34,27.9
9/1/2024 19:00,calletampico_to_villageshoppingctr,NB,0.02,0.24,36.4
9/1/2024 19:00,villageshoppingctr_to_calletampico,SB,0.1,0.34,25.8
9/1/2024 20:00,calletampico_to_villageshoppingctr,NB,0.01,0.22,41.1
9/1/2024 20:00,villageshoppingctr_to_calletampico,SB,0.11,0.35,27.7
9/1/2024 21:00,calletampico_to_villageshoppingctr,NB,0.01,0.23,38.3
9/1/2024 21:00,villageshoppingctr_to_calletampico,SB,0.06,0.3,31.9
9/1/2024 22:00,calletampico_to_villageshoppingctr,NB,0.01,0.21,41.9
9/1/2024 22:00,villageshoppingctr_to_calletampico,SB,0.06,0.29,32.8
9/1/2024 23:00,calletampico_to_villageshoppingctr,NB,0,0.19,46.9
9/1/2024 23:00,villageshoppingctr_to_calletampico,SB,0.03,0.27,33.1
9/2/2024 0:00,calletampico_to_villageshoppingctr,NB,0.02,0.24,38.6
9/2/2024 0:00,villageshoppingctr_to_calletampico,SB,0.05,0.29,30.9
9/2/2024 1:00,calletampico_to_villageshoppingctr,NB,0,0.18,49.2
