local_datetime,corridor_id,direction,average_delay,average_traveltime,average_speed
9/1/2024 0:00,villageshoppingctr_to_ave50,NB,0,0.48,45.1
9/1/2024 0:00,ave50_to_villageshoppingctr,SB,0.03,0.6,35.8
9/1/2024 1:00,villageshoppingctr_to_ave50,NB,0,0.43,49.4
9/1/2024 1:00,ave50_to_villageshoppingctr,SB,0.01,0.51,42.1
9/1/2024 2:00,villageshoppingctr_to_ave50,NB,0,0.48,44.8
9/1/2024 2:00,ave50_to_villageshoppingctr,SB,0.01,0.54,40.1
9/1/2024 3:00,villageshoppingctr_to_ave50,NB,0,0.43,49.1
9/1/2024 3:00,ave50_to_villageshoppingctr,SB,0.09,0.64,34.6
9/1/2024 4:00,villageshoppingctr_to_ave50,NB,0,0.41,51.6
9/1/2024 4:00,ave50_to_villageshoppingctr,SB,0.02,0.5,42.2
9/1/2024 5:00,villageshoppingctr_to_ave50,NB,0,0.45,47.5
9/1/2024 5:00,ave50_to_villageshoppingctr,SB,0,0.45,47
9/1/2024 6:00,villageshoppingctr_to_ave50,NB,0.03,0.47,46.3
9/1/2024 6:00,ave50_to_villageshoppingctr,SB,0,0.52,41.1
9/1/2024 7:00,villageshoppingctr_to_ave50,NB,0.03,0.51,43
9/1/2024 7:00,ave50_to_villageshoppingctr,SB,0.02,0.58,36.9
9/1/2024 8:00,villageshoppingctr_to_ave50,NB,0.05,0.5,44.8
9/1/2024 8:00,ave50_to_villageshoppingctr,SB,0,0.52,40.8
9/1/2024 9:00,villageshoppingctr_to_ave50,NB,0.19,0.68,33.2
9/1/2024 9:00,ave50_to_villageshoppingctr,SB,0,0.48,44.1
9/1/2024 10:00,villageshoppingctr_to_ave50,NB,0.08,0.55,40.8
9/1/2024 10:00,ave50_to_villageshoppingctr,SB,0.02,0.55,38.7
9/1/2024 11:00,villageshoppingctr_to_ave50,NB,0.09,0.57,39.9
9/1/2024 11:00,ave50_to_villageshoppingctr,SB,0,0.54,39.6
9/1/2024 12:00,villageshoppingctr_to_ave50,NB,0.37,0.86,25.4
9/1/2024 12:00,ave50_to_villageshoppingctr,SB,0,0.52,40.7
9/1/2024 13:00,villageshoppingctr_to_ave50,NB,0.06,0.53,41.2
9/1/2024 13:00,ave50_to_villageshoppingctr,SB,0.01,0.55,38.7
9/1/2024 14:00,villageshoppingctr_to_ave50,NB,0.14,0.61,38.1
9/1/2024 14:00,ave50_to_villageshoppingctr,SB,0.01,0.54,39.8
9/1/2024 15:00,villageshoppingctr_to_ave50,NB,0.11,0.58,38.5
9/1/2024 15:00,ave50_to_villageshoppingctr,SB,0.01,0.52,40.9
9/1/2024 16:00,villageshoppingctr_to_ave50,NB,0.14,0.63,34.6
9/1/2024 16:00,ave50_to_villageshoppingctr,SB,0,0.49,42.9
9/1/2024 17:00,villageshoppingctr_to_ave50,NB,0.11,0.59,37.5
9/1/2024 17:00,ave50_to_villageshoppingctr,SB,0.01,0.53,40.2
9/1/2024 18:00,villageshoppingctr_to_ave50,NB,0.13,0.65,34.4
9/1/2024 18:00,ave50_to_villageshoppingctr,SB,0.03,0.58,36.9
9/1/2024 19:00,villageshoppingctr_to_ave50,NB,0.08,0.6,36.4
9/1/2024 19:00,ave50_to_villageshoppingctr,SB,0.02,0.56,38.2
9/1/2024 20:00,villageshoppingctr_to_ave50,NB,0.09,0.6,36.4
9/1/2024 20:00,ave50_to_villageshoppingctr,SB,0.02,0.55,38.9
9/1/2024 21:00,villageshoppingctr_to_ave50,NB,0.07,0.58,37.6
9/1/2024 21:00,ave50_to_villageshoppingctr,SB,0.01,0.53,40.1
9/1/2024 22:00,villageshoppingctr_to_ave50,NB,0.05,0.55,39.7
9/1/2024 22:00,ave50_to_villageshoppingctr,SB,0.01,0.53,40.1
9/1/2024 23:00,villageshoppingctr_to_ave50,NB,0.02,0.46,47.5
9/1/2024 23:00,ave50_to_villageshoppingctr,SB,0.08,0.65,33.2
9/2/2024 0:00,villageshoppingctr_to_ave50,NB,0.02,0.5,43.6
9/2/2024 0:00,ave50_to_villageshoppingctr,SB,0.05,0.63,34.4
9/2/2024 1:00,villageshoppingctr_to_ave50,NB,0,0.43,49.3
9/2/2024 1:00,ave50_to_villageshoppingctr,SB,0.01,0.45,47.6
9/2/2024 2:00,villageshoppingctr_to_ave50,NB,0,0.48,45.1
9/2/2024 2:00,ave50_to_villageshoppingctr,SB,0,0.48,44
9/2/2024 3:00,villageshoppingctr_to_ave50,NB,0,0.47,46
9/2/2024 3:00,ave50_to_villageshoppingctr,SB,0,0.49,43.3
9/2/2024 4:00,villageshoppingctr_to_ave50,NB,0,0.44,48.5
9/2/2024 4:00,ave50_to_villageshoppingctr,SB,0,0.49,43
9/2/2024 5:00,villageshoppingctr_to_ave50,NB,0,0.49,44.3
9/2/2024 5:00,ave50_to_villageshoppingctr,SB,0.01,0.54,39.4
9/2/2024 6:00,villageshoppingctr_to_ave50,NB,0.01,0.5,43
9/2/2024 6:00,ave50_to_villageshoppingctr,SB,0.01,0.53,41
9/2/2024 7:00,villageshoppingctr_to_ave50,NB,0.18,0.67,33.2
9/2/2024 7:00,ave50_to_villageshoppingctr,SB,0.03,0.53,41.7
9/2/2024 8:00,villageshoppingctr_to_ave50,NB,0.02,0.47,46.7
9/2/2024 8:00,ave50_to_villageshoppingctr,SB,0,0.48,44.3
9/2/2024 9:00,villageshoppingctr_to_ave50,NB,0.12,0.59,38.7
9/2/2024 9:00,ave50_to_villageshoppingctr,SB,0,0.51,41.5
9/2/2024 10:00,villageshoppingctr_to_ave50,NB,0.08,0.55,40
9/2/2024 10:00,ave50_to_villageshoppingctr,SB,0.01,0.54,39.6
