local_datetime,corridor_id,direction,average_delay,average_traveltime,average_speed
9/1/2024 0:00,ave50_to_sagebrushave,NB,0,0.33,46.4
9/1/2024 0:00,sagebrushave_to_ave50,SB,0.06,0.41,38.4
9/1/2024 1:00,ave50_to_sagebrushave,NB,0,0.35,43.8
9/1/2024 1:00,sagebrushave_to_ave50,SB,0,0.31,47.5
9/1/2024 2:00,ave50_to_sagebrushave,NB,0,0.36,41.5
9/1/2024 2:00,sagebrushave_to_ave50,SB,0,0.32,46.5
9/1/2024 3:00,ave50_to_sagebrushave,NB,0,0.29,52.4
9/1/2024 3:00,sagebrushave_to_ave50,SB,0,0.33,45.6
9/1/2024 4:00,ave50_to_sagebrushave,NB,0,0.3,51
9/1/2024 4:00,sagebrushave_to_ave50,SB,0,0.31,48.3
9/1/2024 5:00,ave50_to_sagebrushave,NB,0,0.3,49.7
9/1/2024 5:00,sagebrushave_to_ave50,SB,0,0.3,49
9/1/2024 6:00,ave50_to_sagebrushave,NB,0,0.32,48.2
9/1/2024 6:00,sagebrushave_to_ave50,SB,0,0.35,43.2
9/1/2024 7:00,ave50_to_sagebrushave,NB,0,0.31,48.8
9/1/2024 7:00,sagebrushave_to_ave50,SB,0.14,0.48,31.9
9/1/2024 8:00,ave50_to_sagebrushave,NB,0,0.32,46.8
9/1/2024 8:00,sagebrushave_to_ave50,SB,0.03,0.36,44
9/1/2024 9:00,ave50_to_sagebrushave,NB,0,0.33,45.7
9/1/2024 9:00,sagebrushave_to_ave50,SB,0.05,0.4,38.1
9/1/2024 10:00,ave50_to_sagebrushave,NB,0,0.33,46.2
9/1/2024 10:00,sagebrushave_to_ave50,SB,0.05,0.41,38
9/1/2024 11:00,ave50_to_sagebrushave,NB,0,0.34,44.7
9/1/2024 11:00,sagebrushave_to_ave50,SB,0.01,0.32,46.3
9/1/2024 12:00,ave50_to_sagebrushave,NB,0,0.33,46.3
9/1/2024 12:00,sagebrushave_to_ave50,SB,0,0.31,48.7
9/1/2024 13:00,ave50_to_sagebrushave,NB,0,0.32,47.2
9/1/2024 13:00,sagebrushave_to_ave50,SB,0,0.31,48.2
9/1/2024 14:00,ave50_to_sagebrushave,NB,0,0.32,47.1
9/1/2024 14:00,sagebrushave_to_ave50,SB,0.03,0.36,43.1
9/1/2024 15:00,ave50_to_sagebrushave,NB,0,0.33,46
9/1/2024 15:00,sagebrushave_to_ave50,SB,0.01,0.32,46.9
9/1/2024 16:00,ave50_to_sagebrushave,NB,0.02,0.37,42.2
9/1/2024 16:00,sagebrushave_to_ave50,SB,0,0.29,52
9/1/2024 17:00,ave50_to_sagebrushave,NB,0,0.32,47
9/1/2024 17:00,sagebrushave_to_ave50,SB,0.01,0.32,47.2
9/1/2024 18:00,ave50_to_sagebrushave,NB,0,0.35,43
9/1/2024 18:00,sagebrushave_to_ave50,SB,0.06,0.4,38.9
9/1/2024 19:00,ave50_to_sagebrushave,NB,0,0.36,42.3
9/1/2024 19:00,sagebrushave_to_ave50,SB,0.06,0.41,38.2
9/1/2024 20:00,ave50_to_sagebrushave,NB,0,0.34,44.6
9/1/2024 20:00,sagebrushave_to_ave50,SB,0.02,0.36,41.1
9/1/2024 21:00,ave50_to_sagebrushave,NB,0,0.35,43.3
9/1/2024 21:00,sagebrushave_to_ave50,SB,0.04,0.39,40
9/1/2024 22:00,ave50_to_sagebrushave,NB,0,0.34,45.2
9/1/2024 22:00,sagebrushave_to_ave50,SB,0.08,0.4,41
9/1/2024 23:00,ave50_to_sagebrushave,NB,0.01,0.33,46.6
9/1/2024 23:00,sagebrushave_to_ave50,SB,0.01,0.36,41.8
9/2/2024 0:00,ave50_to_sagebrushave,NB,0,0.32,47.9
9/2/2024 0:00,sagebrushave_to_ave50,SB,0,0.34,44.1
9/2/2024 1:00,ave50_to_sagebrushave,NB,0.02,0.38,41.2
9/2/2024 1:00,sagebrushave_to_ave50,SB,0,0.31,48.9
9/2/2024 2:00,ave50_to_sagebrushave,NB,0,0.33,46.3
9/2/2024 2:00,sagebrushave_to_ave50,SB,0,0.32,46.2
9/2/2024 3:00,ave50_to_sagebrushave,NB,0,0.33,45.2
9/2/2024 3:00,sagebrushave_to_ave50,SB,0,0.31,48.5
9/2/2024 4:00,ave50_to_sagebrushave,NB,0,0.3,51.1
9/2/2024 4:00,sagebrushave_to_ave50,SB,0.01,0.35,43
9/2/2024 5:00,ave50_to_sagebrushave,NB,0,0.35,43.2
9/2/2024 5:00,sagebrushave_to_ave50,SB,0,0.3,49.4
9/2/2024 6:00,ave50_to_sagebrushave,NB,0.18,0.55,34.6
9/2/2024 6:00,sagebrushave_to_ave50,SB,0.01,0.32,47.3
9/2/2024 7:00,ave50_to_sagebrushave,NB,0,0.33,45.2
9/2/2024 7:00,sagebrushave_to_ave50,SB,0,0.28,53.1
9/2/2024 8:00,ave50_to_sagebrushave,NB,0,0.31,48.6
