local_datetime,corridor_id,direction,average_delay,average_traveltime,average_speed
9/1/2024 0:00,sagebrushave_to_eisenhowerdr,NB,0.02,0.56,47.6
9/1/2024 0:00,eisenhowerdr_to_sagebrushave,SB,0,0.55,47.7
9/1/2024 1:00,sagebrushave_to_eisenhowerdr,NB,0.1,0.73,36.8
9/1/2024 1:00,eisenhowerdr_to_sagebrushave,SB,0,0.56,47.2
9/1/2024 2:00,sagebrushave_to_eisenhowerdr,NB,0,0.64,41.2
9/1/2024 2:00,eisenhowerdr_to_sagebrushave,SB,0,0.53,49.9
9/1/2024 3:00,sagebrushave_to_eisenhowerdr,NB,0,0.51,52.1
9/1/2024 3:00,eisenhowerdr_to_sagebrushave,SB,0,0.58,45.9
9/1/2024 4:00,sagebrushave_to_eisenhowerdr,NB,0,0.5,53.2
9/1/2024 4:00,eisenhowerdr_to_sagebrushave,SB,0,0.51,51.5
9/1/2024 5:00,sagebrushave_to_eisenhowerdr,NB,0,0.56,47.5
9/1/2024 5:00,eisenhowerdr_to_sagebrushave,SB,0,0.53,50.2
9/1/2024 6:00,sagebrushave_to_eisenhowerdr,NB,0.02,0.62,42.7
9/1/2024 6:00,eisenhowerdr_to_sagebrushave,SB,0.02,0.58,46.1
9/1/2024 7:00,sagebrushave_to_eisenhowerdr,NB,0.13,0.72,37
9/1/2024 7:00,eisenhowerdr_to_sagebrushave,SB,0,0.56,47.3
9/1/2024 8:00,sagebrushave_to_eisenhowerdr,NB,0.08,0.68,40.5
9/1/2024 8:00,eisenhowerdr_to_sagebrushave,SB,0,0.52,51.1
9/1/2024 9:00,sagebrushave_to_eisenhowerdr,NB,0.11,0.71,37.7
9/1/2024 9:00,eisenhowerdr_to_sagebrushave,SB,0,0.51,51.6
9/1/2024 10:00,sagebrushave_to_eisenhowerdr,NB,0.16,0.75,35.8
9/1/2024 10:00,eisenhowerdr_to_sagebrushave,SB,0.01,0.54,48.8
9/1/2024 11:00,sagebrushave_to_eisenhowerdr,NB,0.23,0.84,32
9/1/2024 11:00,eisenhowerdr_to_sagebrushave,SB,0.02,0.57,46.4
9/1/2024 12:00,sagebrushave_to_eisenhowerdr,NB,0.29,0.89,30.6
9/1/2024 12:00,eisenhowerdr_to_sagebrushave,SB,0,0.53,50
9/1/2024 13:00,sagebrushave_to_eisenhowerdr,NB,0.21,0.82,32.4
9/1/2024 13:00,eisenhowerdr_to_sagebrushave,SB,0,0.55,48.2
9/1/2024 14:00,sagebrushave_to_eisenhowerdr,NB,0.14,0.74,36.7
9/1/2024 14:00,eisenhowerdr_to_sagebrushave,SB,0,0.55,48.7
9/1/2024 15:00,sagebrushave_to_eisenhowerdr,NB,0.11,0.72,37
9/1/2024 15:00,eisenhowerdr_to_sagebrushave,SB,0,0.55,48.1
