local_datetime,corridor_id,direction,average_delay,average_traveltime,average_speed
9/1/2024 0:00,eisenhowerdr_to_avenue48,NB,0.02,0.43,42.8
9/1/2024 0:00,avenue48_to_eisenhowerdr,SB,0.03,0.5,36.3
9/1/2024 1:00,eisenhowerdr_to_avenue48,NB,0.01,0.49,37.5
9/1/2024 1:00,avenue48_to_eisenhowerdr,SB,0.05,0.54,34
9/1/2024 2:00,eisenhowerdr_to_avenue48,NB,0.01,0.44,41.3
9/1/2024 2:00,avenue48_to_eisenhowerdr,SB,0,0.44,42.1
9/1/2024 3:00,eisenhowerdr_to_avenue48,NB,0.02,0.43,43
9/1/2024 3:00,avenue48_to_eisenhowerdr,SB,0,0.43,42.2
9/1/2024 4:00,eisenhowerdr_to_avenue48,NB,0,0.37,49.4
9/1/2024 4:00,avenue48_to_eisenhowerdr,SB,0.01,0.48,37.7
9/1/2024 5:00,eisenhowerdr_to_avenue48,NB,0,0.38,47.3
9/1/2024 5:00,avenue48_to_eisenhowerdr,SB,0.05,0.49,39
9/1/2024 6:00,eisenhowerdr_to_avenue48,NB,0.07,0.54,35.2
9/1/2024 6:00,avenue48_to_eisenhowerdr,SB,0.02,0.47,38.7
9/1/2024 7:00,eisenhowerdr_to_avenue48,NB,0.08,0.54,34.7
9/1/2024 7:00,avenue48_to_eisenhowerdr,SB,0.07,0.57,32.2
9/1/2024 8:00,eisenhowerdr_to_avenue48,NB,0.08,0.52,36.9
9/1/2024 8:00,avenue48_to_eisenhowerdr,SB,0.06,0.5,37.9
9/1/2024 9:00,eisenhowerdr_to_avenue48,NB,0,0.42,43.3
9/1/2024 9:00,avenue48_to_eisenhowerdr,SB,0.01,0.44,41.5
9/1/2024 10:00,eisenhowerdr_to_avenue48,NB,0.01,0.46,40
9/1/2024 10:00,avenue48_to_eisenhowerdr,SB,0.04,0.5,37.7
9/1/2024 11:00,eisenhowerdr_to_avenue48,NB,0.05,0.51,37.2
9/1/2024 11:00,avenue48_to_eisenhowerdr,SB,0.14,0.6,32.2
9/1/2024 12:00,eisenhowerdr_to_avenue48,NB,0.03,0.5,36.8
9/1/2024 12:00,avenue48_to_eisenhowerdr,SB,0.07,0.52,35.6
9/1/2024 13:00,eisenhowerdr_to_avenue48,NB,0.03,0.48,38.7
9/1/2024 13:00,avenue48_to_eisenhowerdr,SB,0.08,0.55,33.8
9/1/2024 14:00,eisenhowerdr_to_avenue48,NB,0,0.43,42.2
9/1/2024 14:00,avenue48_to_eisenhowerdr,SB,0.08,0.52,35.4
9/1/2024 15:00,eisenhowerdr_to_avenue48,NB,0.02,0.46,39.7
9/1/2024 15:00,avenue48_to_eisenhowerdr,SB,0.1,0.57,32
9/1/2024 16:00,eisenhowerdr_to_avenue48,NB,0.03,0.47,39.4
9/1/2024 16:00,avenue48_to_eisenhowerdr,SB,0.13,0.61,31
9/1/2024 17:00,eisenhowerdr_to_avenue48,NB,0,0.43,41.8
9/1/2024 17:00,avenue48_to_eisenhowerdr,SB,0.08,0.54,34.8
9/1/2024 18:00,eisenhowerdr_to_avenue48,NB,0.1,0.56,34.5
9/1/2024 18:00,avenue48_to_eisenhowerdr,SB,0.12,0.61,30.6
9/1/2024 19:00,eisenhowerdr_to_avenue48,NB,0.09,0.56,32.7
9/1/2024 19:00,avenue48_to_eisenhowerdr,SB,0.05,0.53,34.5
9/1/2024 20:00,eisenhowerdr_to_avenue48,NB,0.11,0.58,32.9
9/1/2024 20:00,avenue48_to_eisenhowerdr,SB,0.09,0.58,32
9/1/2024 21:00,eisenhowerdr_to_avenue48,NB,0.07,0.52,35.6
9/1/2024 21:00,avenue48_to_eisenhowerdr,SB,0.04,0.53,34.5
9/1/2024 22:00,eisenhowerdr_to_avenue48,NB,0.07,0.53,35.2
9/1/2024 22:00,avenue48_to_eisenhowerdr,SB,0.04,0.52,35.6
9/1/2024 23:00,eisenhowerdr_to_avenue48,NB,0.02,0.47,39.3
9/1/2024 23:00,avenue48_to_eisenhowerdr,SB,0.03,0.5,36.8
9/2/2024 0:00,eisenhowerdr_to_avenue48,NB,0,0.44,41.4
9/2/2024 0:00,avenue48_to_eisenhowerdr,SB,0.04,0.52,35.4
9/2/2024 1:00,eisenhowerdr_to_avenue48,NB,0.01,0.42,43.4
9/2/2024 1:00,avenue48_to_eisenhowerdr,SB,0.01,0.46,39.9
9/2/2024 2:00,eisenhowerdr_to_avenue48,NB,0,0.38,47.6
9/2/2024 2:00,avenue48_to_eisenhowerdr,SB,0.01,0.44,42
9/2/2024 3:00,eisenhowerdr_to_avenue48,NB,0,0.37,49
9/2/2024 3:00,avenue48_to_eisenhowerdr,SB,0.01,0.48,38.1
9/2/2024 4:00,eisenhowerdr_to_avenue48,NB,0,0.36,50.4
9/2/2024 4:00,avenue48_to_eisenhowerdr,SB,0.01,0.42,43.8
9/2/2024 5:00,eisenhowerdr_to_avenue48,NB,0,0.39,46.9
9/2/2024 5:00,avenue48_to_eisenhowerdr,SB,0.13,0.6,33.2
9/2/2024 6:00,eisenhowerdr_to_avenue48,NB,0.02,0.48,38.9
9/2/2024 6:00,avenue48_to_eisenhowerdr,SB,0.06,0.54,34.6
9/2/2024 7:00,eisenhowerdr_to_avenue48,NB,0.02,0.44,42.7
9/2/2024 7:00,avenue48_to_eisenhowerdr,SB,0.09,0.56,33.6
9/2/2024 8:00,eisenhowerdr_to_avenue48,NB,0.01,0.42,43.9
9/2/2024 8:00,avenue48_to_eisenhowerdr,SB,0.01,0.43,42.3
9/2/2024 9:00,eisenhowerdr_to_avenue48,NB,0.01,0.43,42.4
9/2/2024 9:00,avenue48_to_eisenhowerdr,SB,0.03,0.46,40.5
9/2/2024 10:00,eisenhowerdr_to_avenue48,NB,0.04,0.5,36.8
9/2/2024 10:00,avenue48_to_eisenhowerdr,SB,0.09,0.54,35.5
9/2/2024 11:00,eisenhowerdr_to_avenue48,NB,0,0.47,39.1
9/2/2024 11:00,avenue48_to_eisenhowerdr,SB,0.08,0.54,34.7
9/2/2024 12:00,eisenhowerdr_to_avenue48,NB,0,0.44,41.7
9/2/2024 12:00,avenue48_to_eisenhowerdr,SB,0.11,0.56,33.8
9/2/2024 13:00,eisenhowerdr_to_avenue48,NB,0,0.44,41.7
9/2/2024 13:00,avenue48_to_eisenhowerdr,SB,0.1,0.54,34.1
9/2/2024 14:00,eisenhowerdr_to_avenue48,NB,0,0.45,40.8
9/2/2024 14:00,avenue48_to_eisenhowerdr,SB,0.11,0.58,32.4
9/2/2024 15:00,eisenhowerdr_to_avenue48,NB,0,0.45,40.3
9/2/2024 15:00,avenue48_to_eisenhowerdr,SB,0.06,0.52,35.6
9/2/2024 16:00,eisenhowerdr_to_avenue48,NB,0.01,0.42,44.3
9/2/2024 16:00,avenue48_to_eisenhowerdr,SB,0.06,0.52,36.2
9/2/2024 17:00,eisenhowerdr_to_avenue48,NB,0,0.44,41.1
9/2/2024 17:00,avenue48_to_eisenhowerdr,SB,0.04,0.51,36.2
9/2/2024 18:00,eisenhowerdr_to_avenue48,NB,0.01,0.44,41.2
9/2/2024 18:00,avenue48_to_eisenhowerdr,SB,0.06,0.51,36.8
9/2/2024 19:00,eisenhowerdr_to_avenue48,NB,0,0.43,42.2
9/2/2024 19:00,avenue48_to_eisenhowerdr,SB,0.12,0.58,33.6
9/2/2024 20:00,eisenhowerdr_to_avenue48,NB,0.04,0.5,36.8
9/2/2024 20:00,avenue48_to_eisenhowerdr,SB,0.12,0.59,32.1
9/2/2024 21:00,eisenhowerdr_to_avenue48,NB,0.05,0.52,35.8
9/2/2024 21:00,avenue48_to_eisenhowerdr,SB,0.04,0.5,36.8
9/2/2024 22:00,eisenhowerdr_to_avenue48,NB,0.07,0.52,35.4
9/2/2024 22:00,avenue48_to_eisenhowerdr,SB,0,0.42,43.5
9/2/2024 23:00,eisenhowerdr_to_avenue48,NB,0.01,0.43,42.4
9/2/2024 23:00,avenue48_to_eisenhowerdr,SB,0.03,0.46,40
9/3/2024 0:00,eisenhowerdr_to_avenue48,NB,0.03,0.48,39.2
9/3/2024 0:00,avenue48_to_eisenhowerdr,SB,0.09,0.56,33.6
9/3/2024 1:00,eisenhowerdr_to_avenue48,NB,0,0.4,45.6
9/3/2024 1:00,avenue48_to_eisenhowerdr,SB,0.01,0.42,43.4
9/3/2024 2:00,eisenhowerdr_to_avenue48,NB,0.01,0.42,43.2
9/3/2024 2:00,avenue48_to_eisenhowerdr,SB,0,0.42,43.3
9/3/2024 3:00,eisenhowerdr_to_avenue48,NB,0.03,0.45,40.9
9/3/2024 3:00,avenue48_to_eisenhowerdr,SB,0,0.41,44.1
9/3/2024 4:00,eisenhowerdr_to_avenue48,NB,0,0.4,45.3
9/3/2024 4:00,avenue48_to_eisenhowerdr,SB,0,0.45,40.7
9/3/2024 5:00,eisenhowerdr_to_avenue48,NB,0.08,0.54,35.3
9/3/2024 5:00,avenue48_to_eisenhowerdr,SB,0.01,0.44,41.2
9/3/2024 6:00,eisenhowerdr_to_avenue48,NB,0.06,0.51,35.5
9/3/2024 6:00,avenue48_to_eisenhowerdr,SB,0.08,0.54,35.7
9/3/2024 7:00,eisenhowerdr_to_avenue48,NB,0.1,0.57,33.1
9/3/2024 7:00,avenue48_to_eisenhowerdr,SB,0.05,0.48,40.1
9/3/2024 8:00,eisenhowerdr_to_avenue48,NB,0.06,0.56,33.4
9/3/2024 8:00,avenue48_to_eisenhowerdr,SB,0.13,0.6,31.5
9/3/2024 9:00,eisenhowerdr_to_avenue48,NB,0.03,0.52,35.2
9/3/2024 9:00,avenue48_to_eisenhowerdr,SB,0.04,0.5,37.3
9/3/2024 10:00,eisenhowerdr_to_avenue48,NB,0,0.46,39.9
9/3/2024 10:00,avenue48_to_eisenhowerdr,SB,0.02,0.46,39.9
9/3/2024 11:00,eisenhowerdr_to_avenue48,NB,0.02,0.49,37.1
9/3/2024 11:00,avenue48_to_eisenhowerdr,SB,0.07,0.53,35
9/3/2024 12:00,eisenhowerdr_to_avenue48,NB,0.01,0.47,39.1
9/3/2024 12:00,avenue48_to_eisenhowerdr,SB,0.04,0.52,35.1
9/3/2024 13:00,eisenhowerdr_to_avenue48,NB,0.01,0.46,39.9
9/3/2024 13:00,avenue48_to_eisenhowerdr,SB,0.09,0.56,34
9/3/2024 14:00,eisenhowerdr_to_avenue48,NB,0.02,0.49,37.2
9/3/2024 14:00,avenue48_to_eisenhowerdr,SB,0.08,0.54,34.6
9/3/2024 15:00,eisenhowerdr_to_avenue48,NB,0.02,0.51,35.8
9/3/2024 15:00,avenue48_to_eisenhowerdr,SB,0.09,0.55,34.3
9/3/2024 16:00,eisenhowerdr_to_avenue48,NB,0.02,0.46,40.2
9/3/2024 16:00,avenue48_to_eisenhowerdr,SB,0.12,0.6,31.6
9/3/2024 17:00,eisenhowerdr_to_avenue48,NB,0.01,0.47,39
9/3/2024 17:00,avenue48_to_eisenhowerdr,SB,0.08,0.54,33.8
