local_datetime,corridor_id,direction,average_delay,average_traveltime,average_speed
9/1/2024 0:00,ave48_to_ave47,NB,0.03,0.76,41.9
9/1/2024 0:00,ave47_to_ave48,SB,0.01,0.76,41.4
9/1/2024 1:00,ave48_to_ave47,NB,0,0.73,42.9
9/1/2024 1:00,ave47_to_ave48,SB,0.03,0.76,41.4
9/1/2024 2:00,ave48_to_ave47,NB,0.15,0.96,34.6
9/1/2024 2:00,ave47_to_ave48,SB,0,0.64,48.9
9/1/2024 3:00,ave48_to_ave47,NB,0,0.7,45
9/1/2024 3:00,ave47_to_ave48,SB,0,0.71,44
9/1/2024 4:00,ave48_to_ave47,NB,0.03,0.82,38.7
9/1/2024 4:00,ave47_to_ave48,SB,0,0.69,45.3
9/1/2024 5:00,ave48_to_ave47,NB,0,0.73,43.2
9/1/2024 5:00,ave47_to_ave48,SB,0,0.65,48.2
9/1/2024 6:00,ave48_to_ave47,NB,0.03,0.74,42.6
9/1/2024 6:00,ave47_to_ave48,SB,0.06,0.76,41.7
9/1/2024 7:00,ave48_to_ave47,NB,0.1,0.86,37
9/1/2024 7:00,ave47_to_ave48,SB,0.11,0.84,37.5
9/1/2024 8:00,ave48_to_ave47,NB,0,0.74,42.6
9/1/2024 8:00,ave47_to_ave48,SB,0.05,0.72,43.8
9/1/2024 9:00,ave48_to_ave47,NB,0.06,0.83,38
9/1/2024 9:00,ave47_to_ave48,SB,0,0.69,45.6
9/1/2024 10:00,ave48_to_ave47,NB,0.13,0.86,37.7
9/1/2024 10:00,ave47_to_ave48,SB,0.04,0.74,42.6
9/1/2024 11:00,ave48_to_ave47,NB,0.17,0.94,35.1
9/1/2024 11:00,ave47_to_ave48,SB,0.01,0.7,44.7
9/1/2024 12:00,ave48_to_ave47,NB,0.1,0.86,37.5
9/1/2024 12:00,ave47_to_ave48,SB,0.02,0.72,44.1
9/1/2024 13:00,ave48_to_ave47,NB,0.08,0.83,38.7
9/1/2024 13:00,ave47_to_ave48,SB,0.03,0.73,43.6
9/1/2024 14:00,ave48_to_ave47,NB,0.06,0.8,39.2
9/1/2024 14:00,ave47_to_ave48,SB,0,0.64,49.4
9/1/2024 15:00,ave48_to_ave47,NB,0.02,0.78,40.6
9/1/2024 15:00,ave47_to_ave48,SB,0.03,0.73,43.6
9/1/2024 16:00,ave48_to_ave47,NB,0.06,0.79,39.6
9/1/2024 16:00,ave47_to_ave48,SB,0.02,0.7,44.9
9/1/2024 17:00,ave48_to_ave47,NB,0.02,0.78,40.7
9/1/2024 17:00,ave47_to_ave48,SB,0,0.71,44.1
9/1/2024 18:00,ave48_to_ave47,NB,0.09,0.86,37.5
9/1/2024 18:00,ave47_to_ave48,SB,0.03,0.74,42.6
9/1/2024 19:00,ave48_to_ave47,NB,0.03,0.81,38.7
9/1/2024 19:00,ave47_to_ave48,SB,0.02,0.74,42.7
9/1/2024 20:00,ave48_to_ave47,NB,0.12,0.9,35.3
9/1/2024 20:00,ave47_to_ave48,SB,0.03,0.74,42.9
9/1/2024 21:00,ave48_to_ave47,NB,0.03,0.82,38.7
9/1/2024 21:00,ave47_to_ave48,SB,0.05,0.77,40.8
9/1/2024 22:00,ave48_to_ave47,NB,0.02,0.78,41.2
9/1/2024 22:00,ave47_to_ave48,SB,0.01,0.72,43.5
9/1/2024 23:00,ave48_to_ave47,NB,0.01,0.72,43.6
9/1/2024 23:00,ave47_to_ave48,SB,0.01,0.7,44.9
9/2/2024 0:00,ave48_to_ave47,NB,0,0.68,46.4
9/2/2024 0:00,ave47_to_ave48,SB,0.04,0.79,39.9
9/2/2024 1:00,ave48_to_ave47,NB,0.1,0.94,34.3
9/2/2024 1:00,ave47_to_ave48,SB,0.01,0.71,44.7
9/2/2024 2:00,ave48_to_ave47,NB,0,0.74,42.9
9/2/2024 2:00,ave47_to_ave48,SB,0,0.61,51.2
9/2/2024 3:00,ave48_to_ave47,NB,0.01,0.8,39.8
9/2/2024 3:00,ave47_to_ave48,SB,0,0.63,49.9
9/2/2024 4:00,ave48_to_ave47,NB,0,0.69,46.4
9/2/2024 4:00,ave47_to_ave48,SB,0,0.61,51.9
9/2/2024 5:00,ave48_to_ave47,NB,0.02,0.8,39.4
9/2/2024 5:00,ave47_to_ave48,SB,0,0.63,49.7
9/2/2024 6:00,ave48_to_ave47,NB,0.02,0.8,40.1
9/2/2024 6:00,ave47_to_ave48,SB,0,0.64,49
9/2/2024 7:00,ave48_to_ave47,NB,0.06,0.83,38.1
9/2/2024 7:00,ave47_to_ave48,SB,0.02,0.68,46.4
9/2/2024 8:00,ave48_to_ave47,NB,0.03,0.77,41.1
9/2/2024 8:00,ave47_to_ave48,SB,0.04,0.76,41.7
9/2/2024 9:00,ave48_to_ave47,NB,0.03,0.77,41.1
9/2/2024 9:00,ave47_to_ave48,SB,0.02,0.71,44.6
9/2/2024 10:00,ave48_to_ave47,NB,0.02,0.8,39.6
9/2/2024 10:00,ave47_to_ave48,SB,0,0.65,48.5
9/2/2024 11:00,ave48_to_ave47,NB,0.04,0.8,39.5
9/2/2024 11:00,ave47_to_ave48,SB,0,0.65,48.1
9/2/2024 12:00,ave48_to_ave47,NB,0.03,0.79,40.5
9/2/2024 12:00,ave47_to_ave48,SB,0.01,0.66,47.3
9/2/2024 13:00,ave48_to_ave47,NB,0.07,0.82,38.8
9/2/2024 13:00,ave47_to_ave48,SB,0.02,0.7,45.1
9/2/2024 14:00,ave48_to_ave47,NB,0.02,0.73,43.1
9/2/2024 14:00,ave47_to_ave48,SB,0,0.67,47
9/2/2024 15:00,ave48_to_ave47,NB,0.02,0.77,40.8
9/2/2024 15:00,ave47_to_ave48,SB,0.02,0.67,47.1
9/2/2024 16:00,ave48_to_ave47,NB,0.02,0.76,41.8
9/2/2024 16:00,ave47_to_ave48,SB,0.05,0.76,41.6
9/2/2024 17:00,ave48_to_ave47,NB,0,0.74,42.3
9/2/2024 17:00,ave47_to_ave48,SB,0.02,0.68,46.6
