local_datetime,corridor_id,direction,average_delay,average_traveltime,average_speed
9/1/2024 0:00,ave47_to_pointhappysimon,NB,0.02,0.53,39.4
9/1/2024 0:00,pointhappysimon_to_ave47,SB,0,0.48,43.1
9/1/2024 1:00,ave47_to_pointhappysimon,NB,0,0.49,41.8
9/1/2024 1:00,pointhappysimon_to_ave47,SB,0,0.45,46.7
9/1/2024 2:00,ave47_to_pointhappysimon,NB,0.08,0.63,34.7
9/1/2024 2:00,pointhappysimon_to_ave47,SB,0,0.41,51
9/1/2024 3:00,ave47_to_pointhappysimon,NB,0,0.46,44.4
9/1/2024 3:00,pointhappysimon_to_ave47,SB,0,0.49,42.5
9/1/2024 4:00,ave47_to_pointhappysimon,NB,0.01,0.55,37.9
9/1/2024 4:00,pointhappysimon_to_ave47,SB,0,0.46,45.1
9/1/2024 5:00,ave47_to_pointhappysimon,NB,0,0.48,43
9/1/2024 5:00,pointhappysimon_to_ave47,SB,0,0.43,48.1
9/1/2024 6:00,ave47_to_pointhappysimon,NB,0,0.5,41.2
9/1/2024 6:00,pointhappysimon_to_ave47,SB,0.01,0.49,42.9
9/1/2024 7:00,ave47_to_pointhappysimon,NB,0.02,0.59,34.8
9/1/2024 7:00,pointhappysimon_to_ave47,SB,0.2,0.69,33
9/1/2024 8:00,ave47_to_pointhappysimon,NB,0.05,0.56,38
9/1/2024 8:00,pointhappysimon_to_ave47,SB,0.08,0.56,39.2
9/1/2024 9:00,ave47_to_pointhappysimon,NB,0.1,0.65,34.7
9/1/2024 9:00,pointhappysimon_to_ave47,SB,0.07,0.55,39.1
9/1/2024 10:00,ave47_to_pointhappysimon,NB,0.01,0.55,37.5
9/1/2024 10:00,pointhappysimon_to_ave47,SB,0.17,0.67,33.3
9/1/2024 11:00,ave47_to_pointhappysimon,NB,0.02,0.57,36.1
9/1/2024 11:00,pointhappysimon_to_ave47,SB,0.21,0.71,31.1
9/1/2024 12:00,ave47_to_pointhappysimon,NB,0.02,0.58,35.8
9/1/2024 12:00,pointhappysimon_to_ave47,SB,0.12,0.61,35.1
9/1/2024 13:00,ave47_to_pointhappysimon,NB,0.02,0.56,37
9/1/2024 13:00,pointhappysimon_to_ave47,SB,0.15,0.65,34.2
9/1/2024 14:00,ave47_to_pointhappysimon,NB,0.01,0.54,38.3
9/1/2024 14:00,pointhappysimon_to_ave47,SB,0.09,0.56,38.9
9/1/2024 15:00,ave47_to_pointhappysimon,NB,0.02,0.56,36.9
9/1/2024 15:00,pointhappysimon_to_ave47,SB,0.08,0.57,36.9
9/1/2024 16:00,ave47_to_pointhappysimon,NB,0.01,0.53,38.5
9/1/2024 16:00,pointhappysimon_to_ave47,SB,0.06,0.55,39.6
9/1/2024 17:00,ave47_to_pointhappysimon,NB,0.01,0.55,37.6
9/1/2024 17:00,pointhappysimon_to_ave47,SB,0.16,0.68,32
9/1/2024 18:00,ave47_to_pointhappysimon,NB,0.08,0.64,32.6
9/1/2024 18:00,pointhappysimon_to_ave47,SB,0.05,0.54,39.4
9/1/2024 19:00,ave47_to_pointhappysimon,NB,0.06,0.61,33.9
9/1/2024 19:00,pointhappysimon_to_ave47,SB,0.04,0.54,39.1
9/1/2024 20:00,ave47_to_pointhappysimon,NB,0.07,0.63,32.7
9/1/2024 20:00,pointhappysimon_to_ave47,SB,0.07,0.55,39.6
9/1/2024 21:00,ave47_to_pointhappysimon,NB,0.05,0.6,34.5
9/1/2024 21:00,pointhappysimon_to_ave47,SB,0,0.47,44.1
9/1/2024 22:00,ave47_to_pointhappysimon,NB,0.01,0.53,39.2
9/1/2024 22:00,pointhappysimon_to_ave47,SB,0.02,0.48,43.3
9/1/2024 23:00,ave47_to_pointhappysimon,NB,0.01,0.51,40.7
9/1/2024 23:00,pointhappysimon_to_ave47,SB,0,0.45,46.6
9/2/2024 0:00,ave47_to_pointhappysimon,NB,0,0.48,42.6
9/2/2024 0:00,pointhappysimon_to_ave47,SB,0,0.48,43.7
9/2/2024 1:00,ave47_to_pointhappysimon,NB,0.04,0.63,33
9/2/2024 1:00,pointhappysimon_to_ave47,SB,0,0.43,48.3
9/2/2024 2:00,ave47_to_pointhappysimon,NB,0,0.51,40.1
9/2/2024 2:00,pointhappysimon_to_ave47,SB,0,0.42,49.5
9/2/2024 3:00,ave47_to_pointhappysimon,NB,0,0.54,38.3
9/2/2024 3:00,pointhappysimon_to_ave47,SB,0,0.42,49.2
9/2/2024 4:00,ave47_to_pointhappysimon,NB,0,0.45,46
9/2/2024 4:00,pointhappysimon_to_ave47,SB,0,0.41,51.4
9/2/2024 5:00,ave47_to_pointhappysimon,NB,0,0.53,39.3
9/2/2024 5:00,pointhappysimon_to_ave47,SB,0,0.44,47.6
9/2/2024 6:00,ave47_to_pointhappysimon,NB,0.01,0.53,39.4
9/2/2024 6:00,pointhappysimon_to_ave47,SB,0.01,0.45,46.7
9/2/2024 7:00,ave47_to_pointhappysimon,NB,0.01,0.55,37.5
9/2/2024 7:00,pointhappysimon_to_ave47,SB,0.15,0.6,38.1
9/2/2024 8:00,ave47_to_pointhappysimon,NB,0.02,0.54,38.5
9/2/2024 8:00,pointhappysimon_to_ave47,SB,0.04,0.51,41.7
9/2/2024 9:00,ave47_to_pointhappysimon,NB,0.01,0.53,39.1
9/2/2024 9:00,pointhappysimon_to_ave47,SB,0.11,0.6,35.9
9/2/2024 10:00,ave47_to_pointhappysimon,NB,0.01,0.58,35.7
9/2/2024 10:00,pointhappysimon_to_ave47,SB,0.14,0.6,37.3
9/2/2024 11:00,ave47_to_pointhappysimon,NB,0.03,0.56,36.5
9/2/2024 11:00,pointhappysimon_to_ave47,SB,0.07,0.56,38.4
9/2/2024 12:00,ave47_to_pointhappysimon,NB,0.02,0.55,38.2
9/2/2024 12:00,pointhappysimon_to_ave47,SB,0.14,0.61,38.3
9/2/2024 13:00,ave47_to_pointhappysimon,NB,0.02,0.56,36.9
9/2/2024 13:00,pointhappysimon_to_ave47,SB,0.1,0.56,39.5
9/2/2024 14:00,ave47_to_pointhappysimon,NB,0.04,0.54,38.4
9/2/2024 14:00,pointhappysimon_to_ave47,SB,0,0.46,45.4
9/2/2024 15:00,ave47_to_pointhappysimon,NB,0.01,0.53,38.5
9/2/2024 15:00,pointhappysimon_to_ave47,SB,0.12,0.61,34.7
9/2/2024 16:00,ave47_to_pointhappysimon,NB,0.02,0.53,38.6
9/2/2024 16:00,pointhappysimon_to_ave47,SB,0.1,0.58,37.8
9/2/2024 17:00,ave47_to_pointhappysimon,NB,0.01,0.53,38.7
9/2/2024 17:00,pointhappysimon_to_ave47,SB,0.04,0.48,44.2
9/2/2024 18:00,ave47_to_pointhappysimon,NB,0.03,0.56,37.4
9/2/2024 18:00,pointhappysimon_to_ave47,SB,0.03,0.48,44.6
9/2/2024 19:00,ave47_to_pointhappysimon,NB,0.01,0.57,36.6
9/2/2024 19:00,pointhappysimon_to_ave47,SB,0.06,0.52,41.1
9/2/2024 20:00,ave47_to_pointhappysimon,NB,0.06,0.63,32.8
9/2/2024 20:00,pointhappysimon_to_ave47,SB,0.03,0.51,42
9/2/2024 21:00,ave47_to_pointhappysimon,NB,0.02,0.55,37.4
9/2/2024 21:00,pointhappysimon_to_ave47,SB,0.02,0.48,43.8
9/2/2024 22:00,ave47_to_pointhappysimon,NB,0,0.54,38.1
9/2/2024 22:00,pointhappysimon_to_ave47,SB,0,0.42,50
