local_datetime,NB_average_delay,SB_average_delay,NB_average_traveltime,SB_average_traveltime,min_units,NB_average_speed,SB_average_speed,speed_units
9/1/2024 0:00,0.07,0.09,0.48,0.53,mins,35.8,29.8,mph
9/1/2024 1:00,0,0.05,0.38,0.47,mins,43.3,33.2,mph
9/1/2024 2:00,0.01,0.03,0.4,0.47,mins,40.9,33.7,mph
9/1/2024 3:00,0.05,0.07,0.43,0.51,mins,40.6,31.5,mph
9/1/2024 4:00,0.01,0.04,0.36,0.46,mins,45.8,34.6,mph
9/1/2024 5:00,0.01,0.07,0.4,0.46,mins,41.3,35.1,mph
9/1/2024 6:00,0.01,0.1,0.4,0.52,mins,41.1,30.2,mph
9/1/2024 7:00,0.08,0.04,0.51,0.43,mins,33.3,36.7,mph
9/1/2024 8:00,0.13,0.05,0.59,0.45,mins,28.3,36.2,mph
9/1/2024 9:00,0.03,0.1,0.43,0.53,mins,38.3,29.8,mph
9/1/2024 10:00,0.09,0.04,0.52,0.46,mins,33.2,34.3,mph
9/1/2024 11:00,0.14,0.06,0.56,0.49,mins,31.7,31.9,mph
9/1/2024 12:00,0.08,0.09,0.51,0.52,mins,33.4,30.3,mph
9/1/2024 13:00,0.09,0.03,0.51,0.46,mins,33.1,34.1,mph
9/1/2024 14:00,0.13,0.07,0.56,0.51,mins,30.9,31.2,mph
9/1/2024 15:00,0.23,0.03,0.67,0.44,mins,26,35.4,mph
9/1/2024 16:00,0.2,0.06,0.65,0.48,mins,27.4,32.5,mph
9/1/2024 17:00,0.08,0.07,0.52,0.51,mins,32.8,30.7,mph
9/1/2024 18:00,0.22,0.12,0.67,0.56,mins,25.3,27.9,mph
9/1/2024 19:00,0.17,0.14,0.63,0.58,mins,27.2,27,mph
9/1/2024 20:00,0.23,0.12,0.69,0.57,mins,24.6,27.7,mph
9/1/2024 21:00,0.27,0.09,0.72,0.52,mins,23.7,30.1,mph
9/1/2024 22:00,0.01,0.03,0.41,0.46,mins,39.8,34,mph
9/1/2024 23:00,0.07,0.07,0.46,0.5,mins,37.2,31.5,mph
9/2/2024 0:00,0.03,0.15,0.41,0.59,mins,39.9,26.8,mph
9/2/2024 1:00,0.04,0.07,0.43,0.48,mins,38.6,33.4,mph
9/2/2024 2:00,0,0.01,0.37,0.42,mins,44.3,37.3,mph
9/2/2024 3:00,0.01,0,0.37,0.37,mins,44.1,42.5,mph
9/2/2024 4:00,0,0.04,0.39,0.42,mins,42.3,38.2,mph
9/2/2024 5:00,0.01,0.04,0.38,0.44,mins,43,36,mph
9/2/2024 6:00,0.03,0.05,0.44,0.47,mins,38.2,33.8,mph
9/2/2024 7:00,0.02,0,0.43,0.41,mins,38.6,38.6,mph
9/2/2024 8:00,0.22,0.11,0.67,0.53,mins,25.8,30.6,mph
9/2/2024 9:00,0.04,0.11,0.45,0.53,mins,37.9,30,mph
9/2/2024 10:00,0.05,0.09,0.49,0.51,mins,34.3,31.1,mph
9/2/2024 11:00,0.19,0.17,0.63,0.59,mins,28.3,27.5,mph
9/2/2024 12:00,0.2,0.03,0.64,0.46,mins,27.5,34.7,mph
9/2/2024 13:00,0.11,0.03,0.55,0.46,mins,31.5,34.3,mph
9/2/2024 14:00,0.17,0.1,0.6,0.53,mins,28.6,29.5,mph
9/2/2024 15:00,0.08,0.03,0.51,0.46,mins,34.2,34.3,mph
9/2/2024 16:00,0.06,0.09,0.49,0.53,mins,34.8,29.8,mph
9/2/2024 17:00,0.12,0.04,0.57,0.47,mins,30.4,33.3,mph
9/2/2024 18:00,0.26,0.04,0.71,0.48,mins,25.2,33.2,mph
9/2/2024 19:00,0.1,0.04,0.52,0.47,mins,34.1,33.6,mph
9/2/2024 20:00,0.11,0.1,0.56,0.54,mins,29.8,29.1,mph
9/2/2024 21:00,0.04,0.05,0.46,0.48,mins,35.9,32.9,mph
9/2/2024 22:00,0.04,0.04,0.49,0.47,mins,34.2,33.2,mph
9/2/2024 23:00,0.01,0.07,0.42,0.5,mins,39.7,31.6,mph
9/3/2024 0:00,0,0.05,0.39,0.49,mins,42.2,32.2,mph
9/3/2024 1:00,0.02,0.02,0.41,0.42,mins,39.8,38,mph
9/3/2024 2:00,0,0.01,0.37,0.39,mins,44.4,40.5,mph
9/3/2024 3:00,0.01,0.01,0.37,0.38,mins,45.3,41.9,mph
9/3/2024 4:00,0.03,0.05,0.42,0.45,mins,39.2,36.2,mph
9/3/2024 5:00,0.05,0.14,0.46,0.56,mins,37.1,28.9,mph
9/3/2024 6:00,0.08,0.09,0.51,0.5,mins,33.3,31.6,mph
9/3/2024 7:00,0.1,0.19,0.53,0.63,mins,32.2,25.5,mph
9/3/2024 8:00,0.21,0.08,0.66,0.52,mins,25.5,30.5,mph
9/3/2024 9:00,0.23,0.13,0.68,0.57,mins,26.3,27.5,mph
9/3/2024 10:00,0.1,0.09,0.54,0.53,mins,31.6,29.9,mph
9/3/2024 11:00,0.16,0.07,0.6,0.5,mins,29.4,31.3,mph
9/3/2024 12:00,0.24,0.12,0.68,0.54,mins,26.2,30.5,mph
9/3/2024 13:00,0.21,0.09,0.64,0.53,mins,28.9,30,mph
9/3/2024 14:00,0.25,0.11,0.71,0.54,mins,23.2,30.6,mph
9/3/2024 15:00,0.16,0.03,0.59,0.45,mins,28.6,35.1,mph
9/3/2024 16:00,0.1,0.06,0.52,0.51,mins,32.6,31,mph
9/3/2024 17:00,0.1,0.05,0.52,0.48,mins,33.4,32.8,mph
9/3/2024 18:00,0.16,0.06,0.57,0.49,mins,32.9,32.2,mph
9/3/2024 19:00,0.13,0.04,0.58,0.48,mins,29.2,33,mph
