local_datetime,NB_average_delay,SB_average_delay,NB_average_traveltime,SB_average_traveltime,min_units,NB_average_speed,SB_average_speed,speed_units
9/1/2024 0:00,0,0.03,0.48,0.6,mins,45.1,35.8,mph
9/1/2024 1:00,0,0.01,0.43,0.51,mins,49.4,42.1,mph
9/1/2024 2:00,0,0.01,0.48,0.54,mins,44.8,40.1,mph
9/1/2024 3:00,0,0.09,0.43,0.64,mins,49.1,34.6,mph
9/1/2024 4:00,0,0.02,0.41,0.5,mins,51.6,42.2,mph
9/1/2024 5:00,0,0,0.45,0.45,mins,47.5,47,mph
9/1/2024 6:00,0.03,0,0.47,0.52,mins,46.3,41.1,mph
9/1/2024 7:00,0.03,0.02,0.51,0.58,mins,43,36.9,mph
9/1/2024 8:00,0.05,0,0.5,0.52,mins,44.8,40.8,mph
9/1/2024 9:00,0.19,0,0.68,0.48,mins,33.2,44.1,mph
9/1/2024 10:00,0.08,0.02,0.55,0.55,mins,40.8,38.7,mph
9/1/2024 11:00,0.09,0,0.57,0.54,mins,39.9,39.6,mph
9/1/2024 12:00,0.37,0,0.86,0.52,mins,25.4,40.7,mph
9/1/2024 13:00,0.06,0.01,0.53,0.55,mins,41.2,38.7,mph
9/1/2024 14:00,0.14,0.01,0.61,0.54,mins,38.1,39.8,mph
9/1/2024 15:00,0.11,0.01,0.58,0.52,mins,38.5,40.9,mph
9/1/2024 16:00,0.14,0,0.63,0.49,mins,34.6,42.9,mph
9/1/2024 17:00,0.11,0.01,0.59,0.53,mins,37.5,40.2,mph
9/1/2024 18:00,0.13,0.03,0.65,0.58,mins,34.4,36.9,mph
9/1/2024 19:00,0.08,0.02,0.6,0.56,mins,36.4,38.2,mph
9/1/2024 20:00,0.09,0.02,0.6,0.55,mins,36.4,38.9,mph
9/1/2024 21:00,0.07,0.01,0.58,0.53,mins,37.6,40.1,mph
9/1/2024 22:00,0.05,0.01,0.55,0.53,mins,39.7,40.1,mph
9/1/2024 23:00,0.02,0.08,0.46,0.65,mins,47.5,33.2,mph
9/2/2024 0:00,0.02,0.05,0.5,0.63,mins,43.6,34.4,mph
9/2/2024 1:00,0,0.01,0.43,0.45,mins,49.3,47.6,mph
9/2/2024 2:00,0,0,0.48,0.48,mins,45.1,44,mph
9/2/2024 3:00,0,0,0.47,0.49,mins,46,43.3,mph
9/2/2024 4:00,0,0,0.44,0.49,mins,48.5,43,mph
9/2/2024 5:00,0,0.01,0.49,0.54,mins,44.3,39.4,mph
9/2/2024 6:00,0.01,0.01,0.5,0.53,mins,43,41,mph
9/2/2024 7:00,0.18,0.03,0.67,0.53,mins,33.2,41.7,mph
9/2/2024 8:00,0.02,0,0.47,0.48,mins,46.7,44.3,mph
9/2/2024 9:00,0.12,0,0.59,0.51,mins,38.7,41.5,mph
9/2/2024 10:00,0.08,0.01,0.55,0.54,mins,40,39.6,mph
9/2/2024 11:00,0.09,0.01,0.56,0.55,mins,39.3,39.3,mph
9/2/2024 12:00,0.11,0.01,0.56,0.52,mins,40,41.1,mph
9/2/2024 13:00,0.13,0,0.6,0.54,mins,37.2,39.3,mph
9/2/2024 14:00,0.08,0.02,0.54,0.58,mins,40,36.5,mph
9/2/2024 15:00,0.17,0,0.65,0.51,mins,36,42,mph
9/2/2024 16:00,0.09,0.01,0.58,0.55,mins,37.8,39,mph
9/2/2024 17:00,0.1,0,0.57,0.48,mins,38.7,43.9,mph
9/2/2024 18:00,0.11,0,0.58,0.53,mins,38.1,39.8,mph
9/2/2024 19:00,0.05,0.01,0.52,0.52,mins,42.3,40.8,mph
9/2/2024 20:00,0.05,0,0.53,0.54,mins,41,39.5,mph
9/2/2024 21:00,0.05,0.01,0.53,0.52,mins,42.3,40.6,mph
9/2/2024 22:00,0.03,0,0.54,0.48,mins,40,44.5,mph
9/2/2024 23:00,0,0.01,0.49,0.54,mins,43.7,39.7,mph
9/3/2024 0:00,0,0.02,0.5,0.59,mins,42.4,36.1,mph
9/3/2024 1:00,0,0,0.46,0.49,mins,46.9,43.7,mph
9/3/2024 2:00,0,0,0.5,0.46,mins,43.1,46.6,mph
9/3/2024 3:00,0,0,0.46,0.47,mins,47.1,44.8,mph
9/3/2024 4:00,0,0,0.46,0.49,mins,46.5,43.1,mph
9/3/2024 5:00,0.03,0.09,0.49,0.64,mins,44.1,34.8,mph
9/3/2024 6:00,0.14,0.03,0.63,0.57,mins,35.9,38.1,mph
9/3/2024 7:00,0.23,0.04,0.71,0.61,mins,30.8,34.9,mph
9/3/2024 8:00,0.18,0.01,0.66,0.55,mins,34.1,38.5,mph
9/3/2024 9:00,0.12,0.01,0.59,0.54,mins,37.9,39.5,mph
9/3/2024 10:00,0.17,0,0.67,0.53,mins,33,40.3,mph
9/3/2024 11:00,0.12,0.02,0.61,0.53,mins,36.4,39.7,mph
9/3/2024 12:00,0.09,0.05,0.54,0.54,mins,43.3,40,mph
9/3/2024 13:00,0.19,0.02,0.69,0.57,mins,31.8,37.3,mph
