local_datetime,NB_average_delay,SB_average_delay,NB_average_traveltime,SB_average_traveltime,min_units,NB_average_speed,SB_average_speed,speed_units
9/1/2024 0:00,0.02,0,0.56,0.55,mins,47.6,47.7,mph
9/1/2024 1:00,0.1,0,0.73,0.56,mins,36.8,47.2,mph
9/1/2024 2:00,0,0,0.64,0.53,mins,41.2,49.9,mph
9/1/2024 3:00,0,0,0.51,0.58,mins,52.1,45.9,mph
9/1/2024 4:00,0,0,0.5,0.51,mins,53.2,51.5,mph
9/1/2024 5:00,0,0,0.56,0.53,mins,47.5,50.2,mph
9/1/2024 6:00,0.02,0.02,0.62,0.58,mins,42.7,46.1,mph
9/1/2024 7:00,0.13,0,0.72,0.56,mins,37,47.3,mph
9/1/2024 8:00,0.08,0,0.68,0.52,mins,40.5,51.1,mph
9/1/2024 9:00,0.11,0,0.71,0.51,mins,37.7,51.6,mph
9/1/2024 10:00,0.16,0.01,0.75,0.54,mins,35.8,48.8,mph
9/1/2024 11:00,0.23,0.02,0.84,0.57,mins,32,46.4,mph
9/1/2024 12:00,0.29,0,0.89,0.53,mins,30.6,50,mph
9/1/2024 13:00,0.21,0,0.82,0.55,mins,32.4,48.2,mph
9/1/2024 14:00,0.14,0,0.74,0.55,mins,36.7,48.7,mph
9/1/2024 15:00,0.11,0,0.72,0.55,mins,37,48.1,mph
9/1/2024 16:00,0.16,0,0.75,0.52,mins,35.5,50.6,mph
9/1/2024 17:00,0.13,0,0.72,0.53,mins,37.1,50,mph
9/1/2024 18:00,0.06,0,0.66,0.56,mins,40.5,46.8,mph
9/1/2024 19:00,0.04,0,0.65,0.57,mins,40.5,46.3,mph
9/1/2024 20:00,0.08,0.02,0.69,0.58,mins,38.5,45.5,mph
9/1/2024 21:00,0.07,0,0.66,0.55,mins,40.8,48,mph
9/1/2024 22:00,0.02,0.03,0.6,0.56,mins,44.2,47.5,mph
9/1/2024 23:00,0.03,0,0.62,0.57,mins,42.7,46.1,mph
9/2/2024 0:00,0.02,0,0.59,0.57,mins,45.3,46.4,mph
9/2/2024 1:00,0,0,0.56,0.53,mins,46.8,50.1,mph
9/2/2024 2:00,0,0,0.58,0.51,mins,45.7,51.4,mph
9/2/2024 3:00,0.02,0,0.61,0.55,mins,43.5,48.6,mph
9/2/2024 4:00,0.02,0,0.55,0.58,mins,48.5,45.3,mph
9/2/2024 5:00,0,0,0.58,0.54,mins,45.9,49.1,mph
9/2/2024 6:00,0.04,0,0.66,0.56,mins,40.2,47.6,mph
9/2/2024 7:00,0.16,0,0.76,0.51,mins,35.3,52.1,mph
9/2/2024 8:00,0.05,0.01,0.62,0.52,mins,42.9,50.6,mph
9/2/2024 9:00,0.27,0.03,0.87,0.58,mins,32.8,46,mph
9/2/2024 10:00,0.18,0.01,0.8,0.56,mins,33.3,46.9,mph
9/2/2024 11:00,0.17,0,0.78,0.55,mins,34.2,48.2,mph
9/2/2024 12:00,0.12,0,0.73,0.54,mins,36.5,49.1,mph
9/2/2024 13:00,0.15,0.01,0.75,0.56,mins,35.9,47.5,mph
9/2/2024 14:00,0.15,0,0.75,0.56,mins,35.7,47.4,mph
9/2/2024 15:00,0.17,0,0.77,0.55,mins,34.7,48,mph
9/2/2024 16:00,0.16,0,0.75,0.54,mins,35.9,49.4,mph
9/2/2024 17:00,0.21,0.01,0.82,0.56,mins,33,47.8,mph
9/2/2024 18:00,0.08,0,0.66,0.52,mins,40.4,51,mph
9/2/2024 19:00,0.11,0.03,0.72,0.57,mins,37.2,46.7,mph
9/2/2024 20:00,0.06,0.01,0.66,0.56,mins,40.5,46.9,mph
9/2/2024 21:00,0.05,0,0.66,0.55,mins,40.8,48.4,mph
9/2/2024 22:00,0.02,0,0.58,0.51,mins,46.6,51.4,mph
9/2/2024 23:00,0.04,0,0.62,0.55,mins,43.5,48.4,mph
9/3/2024 0:00,0,0,0.58,0.61,mins,45.2,43.5,mph
9/3/2024 1:00,0,0,0.56,0.52,mins,47.3,51.1,mph
