local_datetime,NB_average_delay,SB_average_delay,NB_average_traveltime,SB_average_traveltime,min_units,NB_average_speed,SB_average_speed,speed_units
9/1/2024 0:00,0.03,0.01,0.76,0.76,mins,41.9,41.4,mph
9/1/2024 1:00,0,0.03,0.73,0.76,mins,42.9,41.4,mph
9/1/2024 2:00,0.15,0,0.96,0.64,mins,34.6,48.9,mph
9/1/2024 3:00,0,0,0.7,0.71,mins,45,44,mph
9/1/2024 4:00,0.03,0,0.82,0.69,mins,38.7,45.3,mph
9/1/2024 5:00,0,0,0.73,0.65,mins,43.2,48.2,mph
9/1/2024 6:00,0.03,0.06,0.74,0.76,mins,42.6,41.7,mph
9/1/2024 7:00,0.1,0.11,0.86,0.84,mins,37,37.5,mph
9/1/2024 8:00,0,0.05,0.74,0.72,mins,42.6,43.8,mph
9/1/2024 9:00,0.06,0,0.83,0.69,mins,38,45.6,mph
9/1/2024 10:00,0.13,0.04,0.86,0.74,mins,37.7,42.6,mph
9/1/2024 11:00,0.17,0.01,0.94,0.7,mins,35.1,44.7,mph
9/1/2024 12:00,0.1,0.02,0.86,0.72,mins,37.5,44.1,mph
9/1/2024 13:00,0.08,0.03,0.83,0.73,mins,38.7,43.6,mph
9/1/2024 14:00,0.06,0,0.8,0.64,mins,39.2,49.4,mph
9/1/2024 15:00,0.02,0.03,0.78,0.73,mins,40.6,43.6,mph
9/1/2024 16:00,0.06,0.02,0.79,0.7,mins,39.6,44.9,mph
9/1/2024 17:00,0.02,0,0.78,0.71,mins,40.7,44.1,mph
9/1/2024 18:00,0.09,0.03,0.86,0.74,mins,37.5,42.6,mph
9/1/2024 19:00,0.03,0.02,0.81,0.74,mins,38.7,42.7,mph
9/1/2024 20:00,0.12,0.03,0.9,0.74,mins,35.3,42.9,mph
9/1/2024 21:00,0.03,0.05,0.82,0.77,mins,38.7,40.8,mph
9/1/2024 22:00,0.02,0.01,0.78,0.72,mins,41.2,43.5,mph
9/1/2024 23:00,0.01,0.01,0.72,0.7,mins,43.6,44.9,mph
9/2/2024 0:00,0,0.04,0.68,0.79,mins,46.4,39.9,mph
9/2/2024 1:00,0.1,0.01,0.94,0.71,mins,34.3,44.7,mph
9/2/2024 2:00,0,0,0.74,0.61,mins,42.9,51.2,mph
9/2/2024 3:00,0.01,0,0.8,0.63,mins,39.8,49.9,mph
9/2/2024 4:00,0,0,0.69,0.61,mins,46.4,51.9,mph
9/2/2024 5:00,0.02,0,0.8,0.63,mins,39.4,49.7,mph
9/2/2024 6:00,0.02,0,0.8,0.64,mins,40.1,49,mph
9/2/2024 7:00,0.06,0.02,0.83,0.68,mins,38.1,46.4,mph
9/2/2024 8:00,0.03,0.04,0.77,0.76,mins,41.1,41.7,mph
9/2/2024 9:00,0.03,0.02,0.77,0.71,mins,41.1,44.6,mph
9/2/2024 10:00,0.02,0,0.8,0.65,mins,39.6,48.5,mph
9/2/2024 11:00,0.04,0,0.8,0.65,mins,39.5,48.1,mph
9/2/2024 12:00,0.03,0.01,0.79,0.66,mins,40.5,47.3,mph
9/2/2024 13:00,0.07,0.02,0.82,0.7,mins,38.8,45.1,mph
9/2/2024 14:00,0.02,0,0.73,0.67,mins,43.1,47,mph
9/2/2024 15:00,0.02,0.02,0.77,0.67,mins,40.8,47.1,mph
9/2/2024 16:00,0.02,0.05,0.76,0.76,mins,41.8,41.6,mph
9/2/2024 17:00,0,0.02,0.74,0.68,mins,42.3,46.6,mph
9/2/2024 18:00,0.04,0,0.72,0.65,mins,43.7,48.2,mph
9/2/2024 19:00,0.03,0.02,0.82,0.71,mins,39,44.6,mph
9/2/2024 20:00,0.05,0.04,0.83,0.76,mins,38.6,41.7,mph
9/2/2024 21:00,0.03,0.02,0.79,0.74,mins,40.5,42.4,mph
9/2/2024 22:00,0,0.01,0.8,0.66,mins,39.3,48,mph
9/2/2024 23:00,0.02,0,0.82,0.64,mins,38.8,49.4,mph
9/3/2024 0:00,0.03,0.01,0.82,0.68,mins,38.4,45.9,mph
9/3/2024 1:00,0,0,0.75,0.63,mins,42.2,49.6,mph
9/3/2024 2:00,0.01,0,0.79,0.63,mins,39.9,49.6,mph
9/3/2024 3:00,0,0,0.78,0.69,mins,40.7,45.5,mph
9/3/2024 4:00,0.01,0.01,0.76,0.75,mins,41.9,41.7,mph
9/3/2024 5:00,0.03,0.01,0.81,0.76,mins,39.4,41.1,mph
9/3/2024 6:00,0.01,0.03,0.8,0.72,mins,39.4,43.9,mph
9/3/2024 7:00,0.02,0,0.78,0.66,mins,40.7,47.6,mph
9/3/2024 8:00,0.06,0,0.81,0.67,mins,39,47,mph
9/3/2024 9:00,0.13,0,0.91,0.67,mins,35.5,46.9,mph
9/3/2024 10:00,0.06,0.03,0.81,0.72,mins,39.2,44.1,mph
9/3/2024 11:00,0.11,0.04,0.88,0.75,mins,36.1,42.1,mph
9/3/2024 12:00,0.11,0.02,0.85,0.7,mins,37.3,44.8,mph
9/3/2024 13:00,0.15,0.03,0.9,0.73,mins,35.9,43.4,mph
9/3/2024 14:00,0.06,0.01,0.81,0.7,mins,39.2,45.1,mph
9/3/2024 15:00,0.11,0.05,0.86,0.77,mins,36.7,41.3,mph
9/3/2024 16:00,0.08,0.03,0.8,0.77,mins,40,41.2,mph
9/3/2024 17:00,0.03,0.04,0.75,0.76,mins,42.5,41.5,mph
9/3/2024 18:00,0.06,0.03,0.79,0.71,mins,39.9,44.2,mph
9/3/2024 19:00,0.01,0.02,0.81,0.68,mins,38.7,46.3,mph
9/3/2024 20:00,0.02,0.06,0.83,0.77,mins,38.2,40.6,mph
9/3/2024 21:00,0.07,0.03,0.85,0.75,mins,37.7,41.9,mph
9/3/2024 22:00,0.01,0.02,0.77,0.71,mins,41.4,44.6,mph
9/3/2024 23:00,0.05,0.02,0.9,0.66,mins,35.1,48,mph
9/4/2024 0:00,0.01,0,0.65,0.63,mins,48.5,50.2,mph
9/4/2024 1:00,0,0,0.72,0.61,mins,44.3,52,mph
9/4/2024 2:00,0.02,0,0.78,0.7,mins,40.6,44.8,mph
9/4/2024 3:00,0.03,0,0.76,0.64,mins,43.7,49,mph
9/4/2024 4:00,0,0.04,0.74,0.69,mins,43,45.9,mph
9/4/2024 5:00,0.01,0.03,0.77,0.71,mins,41.3,44.4,mph
9/4/2024 6:00,0.04,0,0.85,0.66,mins,37.2,47.9,mph
9/4/2024 7:00,0.02,0.02,0.77,0.68,mins,40.9,46.3,mph
9/4/2024 8:00,0.05,0.01,0.85,0.7,mins,37.2,45.1,mph
9/4/2024 9:00,0.06,0.01,0.8,0.68,mins,39.5,46,mph
9/4/2024 10:00,0.08,0,0.84,0.71,mins,37.8,44.6,mph
9/4/2024 11:00,0.02,0.02,0.81,0.71,mins,38.9,44.4,mph
9/4/2024 12:00,0.06,0.01,0.78,0.7,mins,40.5,44.8,mph
9/4/2024 13:00,0.12,0,0.86,0.68,mins,36.9,46,mph
9/4/2024 14:00,0.05,0.02,0.75,0.72,mins,42,43.7,mph
9/4/2024 15:00,0.1,0.01,0.84,0.68,mins,37.7,46.2,mph
9/4/2024 16:00,0.03,0.04,0.77,0.76,mins,40.8,42.1,mph
9/4/2024 17:00,0.05,0.03,0.8,0.75,mins,39.6,42.2,mph
9/4/2024 18:00,0.02,0.01,0.77,0.72,mins,41.2,43.5,mph
9/4/2024 19:00,0.01,0.06,0.76,0.75,mins,41.4,42.1,mph
9/4/2024 20:00,0.04,0.04,0.84,0.76,mins,37.7,41.5,mph
9/4/2024 21:00,0.02,0.05,0.79,0.77,mins,39.9,41,mph
9/4/2024 22:00,0.01,0.03,0.81,0.73,mins,38.8,43.2,mph
9/4/2024 23:00,0.02,0,0.77,0.7,mins,41.7,44.9,mph
9/5/2024 0:00,0.01,0,0.76,0.66,mins,41.3,47.5,mph
9/5/2024 1:00,0.02,0,0.8,0.66,mins,39.9,47.2,mph
9/5/2024 2:00,0.05,0,0.84,0.63,mins,38.5,50,mph
9/5/2024 3:00,0,0,0.7,0.68,mins,44.5,46,mph
9/5/2024 4:00,0,0.08,0.69,0.79,mins,45.2,40,mph
9/5/2024 5:00,0.03,0.02,0.82,0.67,mins,38.7,47.3,mph
9/5/2024 6:00,0.03,0.08,0.84,0.77,mins,38,41.6,mph
9/5/2024 7:00,0.05,0,0.83,0.64,mins,37.9,48.9,mph
9/5/2024 8:00,0.05,0.01,0.83,0.67,mins,38.1,46.8,mph
9/5/2024 9:00,0.04,0,0.78,0.66,mins,40.4,47.8,mph
9/5/2024 10:00,0.04,0,0.82,0.68,mins,38.7,46.4,mph
9/5/2024 11:00,0.07,0.02,0.83,0.7,mins,37.8,45.3,mph
9/5/2024 12:00,0.05,0.03,0.81,0.74,mins,39,42.8,mph
9/5/2024 13:00,0.06,0.02,0.8,0.74,mins,39.6,42.7,mph
9/5/2024 14:00,0.06,0.02,0.78,0.71,mins,40.3,44.3,mph
9/5/2024 15:00,0.07,0.05,0.81,0.76,mins,38.7,41.4,mph
9/5/2024 16:00,0.09,0.02,0.83,0.72,mins,38.1,44,mph
9/5/2024 17:00,0.02,0.02,0.8,0.73,mins,39.3,43.2,mph
9/5/2024 18:00,0.03,0.04,0.77,0.71,mins,41.1,44.8,mph
9/5/2024 19:00,0.01,0.01,0.76,0.69,mins,41.7,45.6,mph
9/5/2024 20:00,0.08,0.04,0.85,0.76,mins,37.1,41.5,mph
9/5/2024 21:00,0,0.02,0.77,0.72,mins,40.6,43.8,mph
9/5/2024 22:00,0.04,0,0.83,0.66,mins,37.9,47.9,mph
9/5/2024 23:00,0.08,0.01,0.92,0.67,mins,34.4,46.8,mph
9/6/2024 0:00,0.06,0,0.89,0.62,mins,35.8,50.3,mph
9/6/2024 1:00,0,0,0.67,0.65,mins,46.9,48.4,mph
9/6/2024 2:00,0.01,0,0.81,0.66,mins,39.3,47.8,mph
9/6/2024 3:00,0.01,0,0.75,0.7,mins,42.2,45,mph
9/6/2024 4:00,0.01,0,0.82,0.68,mins,38.3,46.3,mph
9/6/2024 5:00,0.05,0.02,0.82,0.67,mins,39.7,47.7,mph
9/6/2024 6:00,0.01,0.11,0.8,0.84,mins,39.4,38.2,mph
9/6/2024 7:00,0.07,0,0.83,0.66,mins,38.8,48.3,mph
9/6/2024 8:00,0.05,0,0.82,0.68,mins,38.4,46.3,mph
9/6/2024 9:00,0.07,0.01,0.8,0.68,mins,39.5,46.1,mph
9/6/2024 10:00,0.02,0,0.79,0.69,mins,39.9,45.6,mph
9/6/2024 11:00,0.03,0.05,0.76,0.75,mins,41.8,42.3,mph
9/6/2024 12:00,0.16,0.03,0.89,0.74,mins,35.9,42.6,mph
9/6/2024 13:00,0.11,0.02,0.85,0.76,mins,37.5,41.4,mph
9/6/2024 14:00,0.05,0.01,0.82,0.74,mins,38.3,42.7,mph
9/6/2024 15:00,0.08,0.02,0.82,0.72,mins,38.8,43.9,mph
