local_datetime,NB_average_delay,SB_average_delay,NB_average_traveltime,SB_average_traveltime,min_units,NB_average_speed,SB_average_speed,speed_units
9/1/2024 0:00,0.02,0,0.53,0.48,mins,39.4,43.1,mph
9/1/2024 1:00,0,0,0.49,0.45,mins,41.8,46.7,mph
9/1/2024 2:00,0.08,0,0.63,0.41,mins,34.7,51,mph
9/1/2024 3:00,0,0,0.46,0.49,mins,44.4,42.5,mph
9/1/2024 4:00,0.01,0,0.55,0.46,mins,37.9,45.1,mph
9/1/2024 5:00,0,0,0.48,0.43,mins,43,48.1,mph
9/1/2024 6:00,0,0.01,0.5,0.49,mins,41.2,42.9,mph
9/1/2024 7:00,0.02,0.2,0.59,0.69,mins,34.8,33,mph
9/1/2024 8:00,0.05,0.08,0.56,0.56,mins,38,39.2,mph
9/1/2024 9:00,0.1,0.07,0.65,0.55,mins,34.7,39.1,mph
9/1/2024 10:00,0.01,0.17,0.55,0.67,mins,37.5,33.3,mph
9/1/2024 11:00,0.02,0.21,0.57,0.71,mins,36.1,31.1,mph
9/1/2024 12:00,0.02,0.12,0.58,0.61,mins,35.8,35.1,mph
9/1/2024 13:00,0.02,0.15,0.56,0.65,mins,37,34.2,mph
9/1/2024 14:00,0.01,0.09,0.54,0.56,mins,38.3,38.9,mph
9/1/2024 15:00,0.02,0.08,0.56,0.57,mins,36.9,36.9,mph
9/1/2024 16:00,0.01,0.06,0.53,0.55,mins,38.5,39.6,mph
9/1/2024 17:00,0.01,0.16,0.55,0.68,mins,37.6,32,mph
9/1/2024 18:00,0.08,0.05,0.64,0.54,mins,32.6,39.4,mph
9/1/2024 19:00,0.06,0.04,0.61,0.54,mins,33.9,39.1,mph
9/1/2024 20:00,0.07,0.07,0.63,0.55,mins,32.7,39.6,mph
9/1/2024 21:00,0.05,0,0.6,0.47,mins,34.5,44.1,mph
9/1/2024 22:00,0.01,0.02,0.53,0.48,mins,39.2,43.3,mph
9/1/2024 23:00,0.01,0,0.51,0.45,mins,40.7,46.6,mph
9/2/2024 0:00,0,0,0.48,0.48,mins,42.6,43.7,mph
9/2/2024 1:00,0.04,0,0.63,0.43,mins,33,48.3,mph
9/2/2024 2:00,0,0,0.51,0.42,mins,40.1,49.5,mph
9/2/2024 3:00,0,0,0.54,0.42,mins,38.3,49.2,mph
