local_datetime,intersection_id,direction,total_volume
10/30/2024 0:00,Washington_annd_Avenue50,NB,0
10/30/2024 0:00,Washington_annd_Avenue50,SB,0
10/30/2024 1:00,Washington_annd_Avenue50,NB,0
10/30/2024 1:00,Washington_annd_Avenue50,SB,0
10/30/2024 2:00,Washington_annd_Avenue50,NB,0
10/30/2024 2:00,Washington_annd_Avenue50,SB,0
10/30/2024 3:00,Washington_annd_Avenue50,NB,0
10/30/2024 3:00,Washington_annd_Avenue50,SB,0
10/30/2024 4:00,Washington_annd_Avenue50,NB,0
10/30/2024 4:00,Washington_annd_Avenue50,SB,0
10/30/2024 5:00,Washington_annd_Avenue50,NB,65
10/30/2024 5:00,Washington_annd_Avenue50,SB,43
10/30/2024 6:00,Washington_annd_Avenue50,NB,426
10/30/2024 6:00,Washington_annd_Avenue50,SB,306
10/30/2024 7:00,Washington_annd_Avenue50,NB,891
10/30/2024 7:00,Washington_annd_Avenue50,SB,812
10/30/2024 8:00,Washington_annd_Avenue50,NB,878
10/30/2024 8:00,Washington_annd_Avenue50,SB,966
10/30/2024 9:00,Washington_annd_Avenue50,NB,650
10/30/2024 9:00,Washington_annd_Avenue50,SB,693
10/30/2024 10:00,Washington_annd_Avenue50,NB,635
10/30/2024 10:00,Washington_annd_Avenue50,SB,715
10/30/2024 11:00,Washington_annd_Avenue50,NB,792
10/30/2024 11:00,Washington_annd_Avenue50,SB,743
10/30/2024 12:00,Washington_annd_Avenue50,NB,859
10/30/2024 12:00,Washington_annd_Avenue50,SB,808
10/30/2024 13:00,Washington_annd_Avenue50,NB,770
10/30/2024 13:00,Washington_annd_Avenue50,SB,824
10/30/2024 14:00,Washington_annd_Avenue50,NB,712
10/30/2024 14:00,Washington_annd_Avenue50,SB,1013
10/30/2024 15:00,Washington_annd_Avenue50,NB,706
10/30/2024 15:00,Washington_annd_Avenue50,SB,1160
10/30/2024 16:00,Washington_annd_Avenue50,NB,645
10/30/2024 16:00,Washington_annd_Avenue50,SB,1136
10/30/2024 17:00,Washington_annd_Avenue50,NB,653
10/30/2024 17:00,Washington_annd_Avenue50,SB,1238
10/30/2024 18:00,Washington_annd_Avenue50,NB,553
10/30/2024 18:00,Washington_annd_Avenue50,SB,688
10/30/2024 19:00,Washington_annd_Avenue50,NB,416
10/30/2024 19:00,Washington_annd_Avenue50,SB,580
10/30/2024 20:00,Washington_annd_Avenue50,NB,281
10/30/2024 20:00,Washington_annd_Avenue50,SB,488
10/30/2024 21:00,Washington_annd_Avenue50,NB,320
10/30/2024 21:00,Washington_annd_Avenue50,SB,413
10/30/2024 22:00,Washington_annd_Avenue50,NB,158
10/30/2024 22:00,Washington_annd_Avenue50,SB,263
