local_datetime,intersection_id,direction,total_volume
10/30/2024 0:00,Washington_and_CalleTampico,NB,0
10/30/2024 0:00,Washington_and_CalleTampico,SB,0
10/30/2024 1:00,Washington_and_CalleTampico,NB,0
10/30/2024 1:00,Washington_and_CalleTampico,SB,0
10/30/2024 2:00,Washington_and_CalleTampico,NB,0
10/30/2024 2:00,Washington_and_CalleTampico,SB,0
10/30/2024 3:00,Washington_and_CalleTampico,NB,0
10/30/2024 3:00,Washington_and_CalleTampico,SB,0
10/30/2024 4:00,Washington_and_CalleTampico,NB,0
10/30/2024 4:00,Washington_and_CalleTampico,SB,0
10/30/2024 5:00,Washington_and_CalleTampico,NB,55
10/30/2024 5:00,Washington_and_CalleTampico,SB,30
10/30/2024 6:00,Washington_and_CalleTampico,NB,352
10/30/2024 6:00,Washington_and_CalleTampico,SB,275
10/30/2024 7:00,Washington_and_CalleTampico,NB,811
10/30/2024 7:00,Washington_and_CalleTampico,SB,531
10/30/2024 8:00,Washington_and_CalleTampico,NB,731
10/30/2024 8:00,Washington_and_CalleTampico,SB,737
10/30/2024 9:00,Washington_and_CalleTampico,NB,572
10/30/2024 9:00,Washington_and_CalleTampico,SB,619
10/30/2024 10:00,Washington_and_CalleTampico,NB,583
10/30/2024 10:00,Washington_and_CalleTampico,SB,557
10/30/2024 11:00,Washington_and_CalleTampico,NB,550
10/30/2024 11:00,Washington_and_CalleTampico,SB,658
10/30/2024 12:00,Washington_and_CalleTampico,NB,536
10/30/2024 12:00,Washington_and_CalleTampico,SB,721
10/30/2024 13:00,Washington_and_CalleTampico,NB,578
10/30/2024 13:00,Washington_and_CalleTampico,SB,710
10/30/2024 14:00,Washington_and_CalleTampico,NB,590
10/30/2024 14:00,Washington_and_CalleTampico,SB,837
10/30/2024 15:00,Washington_and_CalleTampico,NB,601
10/30/2024 15:00,Washington_and_CalleTampico,SB,921
10/30/2024 16:00,Washington_and_CalleTampico,NB,524
10/30/2024 16:00,Washington_and_CalleTampico,SB,949
10/30/2024 17:00,Washington_and_CalleTampico,NB,546
10/30/2024 17:00,Washington_and_CalleTampico,SB,949
10/30/2024 18:00,Washington_and_CalleTampico,NB,343
10/30/2024 18:00,Washington_and_CalleTampico,SB,474
10/30/2024 19:00,Washington_and_CalleTampico,NB,219
10/30/2024 19:00,Washington_and_CalleTampico,SB,457
10/30/2024 20:00,Washington_and_CalleTampico,NB,138
10/30/2024 20:00,Washington_and_CalleTampico,SB,373
10/30/2024 21:00,Washington_and_CalleTampico,NB,160
10/30/2024 21:00,Washington_and_CalleTampico,SB,354
10/30/2024 22:00,Washington_and_CalleTampico,NB,74
10/30/2024 22:00,Washington_and_CalleTampico,SB,202
10/30/2024 23:00,Washington_and_CalleTampico,NB,32
10/30/2024 23:00,Washington_and_CalleTampico,SB,101
10/31/2024 0:00,Washington_and_CalleTampico,NB,20
10/31/2024 0:00,Washington_and_CalleTampico,SB,63
10/31/2024 1:00,Washington_and_CalleTampico,NB,8
10/31/2024 1:00,Washington_and_CalleTampico,SB,29
10/31/2024 2:00,Washington_and_CalleTampico,NB,10
10/31/2024 2:00,Washington_and_CalleTampico,SB,11
10/31/2024 3:00,Washington_and_CalleTampico,NB,21
10/31/2024 3:00,Washington_and_CalleTampico,SB,21
10/31/2024 4:00,Washington_and_CalleTampico,NB,84
10/31/2024 4:00,Washington_and_CalleTampico,SB,39
10/31/2024 5:00,Washington_and_CalleTampico,NB,169
10/31/2024 5:00,Washington_and_CalleTampico,SB,114
10/31/2024 6:00,Washington_and_CalleTampico,NB,360
10/31/2024 6:00,Washington_and_CalleTampico,SB,275
10/31/2024 7:00,Washington_and_CalleTampico,NB,852
10/31/2024 7:00,Washington_and_CalleTampico,SB,494
10/31/2024 8:00,Washington_and_CalleTampico,NB,743
10/31/2024 8:00,Washington_and_CalleTampico,SB,752
10/31/2024 9:00,Washington_and_CalleTampico,NB,587
10/31/2024 9:00,Washington_and_CalleTampico,SB,572
10/31/2024 10:00,Washington_and_CalleTampico,NB,601
10/31/2024 10:00,Washington_and_CalleTampico,SB,630
10/31/2024 11:00,Washington_and_CalleTampico,NB,535
10/31/2024 11:00,Washington_and_CalleTampico,SB,652
10/31/2024 12:00,Washington_and_CalleTampico,NB,552
10/31/2024 12:00,Washington_and_CalleTampico,SB,659
10/31/2024 13:00,Washington_and_CalleTampico,NB,550
10/31/2024 13:00,Washington_and_CalleTampico,SB,741
10/31/2024 14:00,Washington_and_CalleTampico,NB,604
10/31/2024 14:00,Washington_and_CalleTampico,SB,879
10/31/2024 15:00,Washington_and_CalleTampico,NB,568
10/31/2024 15:00,Washington_and_CalleTampico,SB,963
10/31/2024 16:00,Washington_and_CalleTampico,NB,460
10/31/2024 16:00,Washington_and_CalleTampico,SB,960
10/31/2024 17:00,Washington_and_CalleTampico,NB,574
10/31/2024 17:00,Washington_and_CalleTampico,SB,824
10/31/2024 18:00,Washington_and_CalleTampico,NB,393
10/31/2024 18:00,Washington_and_CalleTampico,SB,438
10/31/2024 19:00,Washington_and_CalleTampico,NB,221
10/31/2024 19:00,Washington_and_CalleTampico,SB,516
10/31/2024 20:00,Washington_and_CalleTampico,NB,202
10/31/2024 20:00,Washington_and_CalleTampico,SB,487
10/31/2024 21:00,Washington_and_CalleTampico,NB,160
10/31/2024 21:00,Washington_and_CalleTampico,SB,408
10/31/2024 22:00,Washington_and_CalleTampico,NB,87
10/31/2024 22:00,Washington_and_CalleTampico,SB,211
10/31/2024 23:00,Washington_and_CalleTampico,NB,46
10/31/2024 23:00,Washington_and_CalleTampico,SB,129
11/1/2024 0:00,Washington_and_CalleTampico,NB,36
11/1/2024 0:00,Washington_and_CalleTampico,SB,62
11/1/2024 1:00,Washington_and_CalleTampico,NB,23
11/1/2024 1:00,Washington_and_CalleTampico,SB,33
11/1/2024 2:00,Washington_and_CalleTampico,NB,11
11/1/2024 2:00,Washington_and_CalleTampico,SB,28
11/1/2024 3:00,Washington_and_CalleTampico,NB,28
11/1/2024 3:00,Washington_and_CalleTampico,SB,32
11/1/2024 4:00,Washington_and_CalleTampico,NB,70
11/1/2024 4:00,Washington_and_CalleTampico,SB,49
11/1/2024 5:00,Washington_and_CalleTampico,NB,165
11/1/2024 5:00,Washington_and_CalleTampico,SB,116
11/1/2024 6:00,Washington_and_CalleTampico,NB,367
11/1/2024 6:00,Washington_and_CalleTampico,SB,230
11/1/2024 7:00,Washington_and_CalleTampico,NB,799
11/1/2024 7:00,Washington_and_CalleTampico,SB,461
11/1/2024 8:00,Washington_and_CalleTampico,NB,701
11/1/2024 8:00,Washington_and_CalleTampico,SB,760
11/1/2024 9:00,Washington_and_CalleTampico,NB,570
11/1/2024 9:00,Washington_and_CalleTampico,SB,588
11/1/2024 10:00,Washington_and_CalleTampico,NB,584
11/1/2024 10:00,Washington_and_CalleTampico,SB,646
11/1/2024 11:00,Washington_and_CalleTampico,NB,590
11/1/2024 11:00,Washington_and_CalleTampico,SB,708
11/1/2024 12:00,Washington_and_CalleTampico,NB,573
11/1/2024 12:00,Washington_and_CalleTampico,SB,742
11/1/2024 13:00,Washington_and_CalleTampico,NB,611
11/1/2024 13:00,Washington_and_CalleTampico,SB,748
11/1/2024 14:00,Washington_and_CalleTampico,NB,618
11/1/2024 14:00,Washington_and_CalleTampico,SB,941
11/1/2024 15:00,Washington_and_CalleTampico,NB,665
11/1/2024 15:00,Washington_and_CalleTampico,SB,1043
11/1/2024 16:00,Washington_and_CalleTampico,NB,503
11/1/2024 16:00,Washington_and_CalleTampico,SB,1015
11/1/2024 17:00,Washington_and_CalleTampico,NB,540
11/1/2024 17:00,Washington_and_CalleTampico,SB,899
11/1/2024 18:00,Washington_and_CalleTampico,NB,406
11/1/2024 18:00,Washington_and_CalleTampico,SB,694
11/1/2024 19:00,Washington_and_CalleTampico,NB,248
11/1/2024 19:00,Washington_and_CalleTampico,SB,566
11/1/2024 20:00,Washington_and_CalleTampico,NB,184
11/1/2024 20:00,Washington_and_CalleTampico,SB,452
11/1/2024 21:00,Washington_and_CalleTampico,NB,169
11/1/2024 21:00,Washington_and_CalleTampico,SB,369
11/1/2024 22:00,Washington_and_CalleTampico,NB,121
11/1/2024 22:00,Washington_and_CalleTampico,SB,341
11/1/2024 23:00,Washington_and_CalleTampico,NB,66
11/1/2024 23:00,Washington_and_CalleTampico,SB,178
11/2/2024 0:00,Washington_and_CalleTampico,NB,42
11/2/2024 0:00,Washington_and_CalleTampico,SB,109
11/2/2024 1:00,Washington_and_CalleTampico,NB,22
11/2/2024 1:00,Washington_and_CalleTampico,SB,61
11/2/2024 2:00,Washington_and_CalleTampico,NB,16
11/2/2024 2:00,Washington_and_CalleTampico,SB,27
11/2/2024 3:00,Washington_and_CalleTampico,NB,19
11/2/2024 3:00,Washington_and_CalleTampico,SB,32
11/2/2024 4:00,Washington_and_CalleTampico,NB,44
11/2/2024 4:00,Washington_and_CalleTampico,SB,26
11/2/2024 5:00,Washington_and_CalleTampico,NB,103
11/2/2024 5:00,Washington_and_CalleTampico,SB,73
11/2/2024 6:00,Washington_and_CalleTampico,NB,203
11/2/2024 6:00,Washington_and_CalleTampico,SB,148
11/2/2024 7:00,Washington_and_CalleTampico,NB,364
11/2/2024 7:00,Washington_and_CalleTampico,SB,247
11/2/2024 8:00,Washington_and_CalleTampico,NB,498
