local_datetime,intersection_id,direction,total_volume
10/30/2024 0:00,Washington_and_Village_Shop_Center,NB,0
10/30/2024 0:00,Washington_and_Village_Shop_Center,SB,0
10/30/2024 1:00,Washington_and_Village_Shop_Center,NB,0
10/30/2024 1:00,Washington_and_Village_Shop_Center,SB,0
10/30/2024 2:00,Washington_and_Village_Shop_Center,NB,0
10/30/2024 2:00,Washington_and_Village_Shop_Center,SB,0
10/30/2024 3:00,Washington_and_Village_Shop_Center,NB,0
10/30/2024 3:00,Washington_and_Village_Shop_Center,SB,0
10/30/2024 4:00,Washington_and_Village_Shop_Center,NB,0
10/30/2024 4:00,Washington_and_Village_Shop_Center,SB,0
10/30/2024 5:00,Washington_and_Village_Shop_Center,NB,54
10/30/2024 5:00,Washington_and_Village_Shop_Center,SB,30
10/30/2024 6:00,Washington_and_Village_Shop_Center,NB,280
10/30/2024 6:00,Washington_and_Village_Shop_Center,SB,187
10/30/2024 7:00,Washington_and_Village_Shop_Center,NB,550
10/30/2024 7:00,Washington_and_Village_Shop_Center,SB,357
10/30/2024 8:00,Washington_and_Village_Shop_Center,NB,743
10/30/2024 8:00,Washington_and_Village_Shop_Center,SB,609
10/30/2024 9:00,Washington_and_Village_Shop_Center,NB,568
10/30/2024 9:00,Washington_and_Village_Shop_Center,SB,457
10/30/2024 10:00,Washington_and_Village_Shop_Center,NB,561
10/30/2024 10:00,Washington_and_Village_Shop_Center,SB,429
10/30/2024 11:00,Washington_and_Village_Shop_Center,NB,546
10/30/2024 11:00,Washington_and_Village_Shop_Center,SB,462
10/30/2024 12:00,Washington_and_Village_Shop_Center,NB,560
10/30/2024 12:00,Washington_and_Village_Shop_Center,SB,535
10/30/2024 13:00,Washington_and_Village_Shop_Center,NB,598
10/30/2024 13:00,Washington_and_Village_Shop_Center,SB,534
10/30/2024 14:00,Washington_and_Village_Shop_Center,NB,571
10/30/2024 14:00,Washington_and_Village_Shop_Center,SB,667
10/30/2024 15:00,Washington_and_Village_Shop_Center,NB,588
10/30/2024 15:00,Washington_and_Village_Shop_Center,SB,706
10/30/2024 16:00,Washington_and_Village_Shop_Center,NB,547
10/30/2024 16:00,Washington_and_Village_Shop_Center,SB,686
10/30/2024 17:00,Washington_and_Village_Shop_Center,NB,498
10/30/2024 17:00,Washington_and_Village_Shop_Center,SB,643
10/30/2024 18:00,Washington_and_Village_Shop_Center,NB,340
10/30/2024 18:00,Washington_and_Village_Shop_Center,SB,454
10/30/2024 19:00,Washington_and_Village_Shop_Center,NB,246
10/30/2024 19:00,Washington_and_Village_Shop_Center,SB,412
10/30/2024 20:00,Washington_and_Village_Shop_Center,NB,175
10/30/2024 20:00,Washington_and_Village_Shop_Center,SB,339
10/30/2024 21:00,Washington_and_Village_Shop_Center,NB,199
10/30/2024 21:00,Washington_and_Village_Shop_Center,SB,301
10/30/2024 22:00,Washington_and_Village_Shop_Center,NB,91
10/30/2024 22:00,Washington_and_Village_Shop_Center,SB,182
10/30/2024 23:00,Washington_and_Village_Shop_Center,NB,48
10/30/2024 23:00,Washington_and_Village_Shop_Center,SB,86
10/31/2024 0:00,Washington_and_Village_Shop_Center,NB,34
10/31/2024 0:00,Washington_and_Village_Shop_Center,SB,58
10/31/2024 1:00,Washington_and_Village_Shop_Center,NB,9
10/31/2024 1:00,Washington_and_Village_Shop_Center,SB,27
10/31/2024 2:00,Washington_and_Village_Shop_Center,NB,16
10/31/2024 2:00,Washington_and_Village_Shop_Center,SB,20
10/31/2024 3:00,Washington_and_Village_Shop_Center,NB,24
10/31/2024 3:00,Washington_and_Village_Shop_Center,SB,21
10/31/2024 4:00,Washington_and_Village_Shop_Center,NB,85
10/31/2024 4:00,Washington_and_Village_Shop_Center,SB,33
10/31/2024 5:00,Washington_and_Village_Shop_Center,NB,182
10/31/2024 5:00,Washington_and_Village_Shop_Center,SB,81
10/31/2024 6:00,Washington_and_Village_Shop_Center,NB,298
10/31/2024 6:00,Washington_and_Village_Shop_Center,SB,189
10/31/2024 7:00,Washington_and_Village_Shop_Center,NB,589
10/31/2024 7:00,Washington_and_Village_Shop_Center,SB,309
10/31/2024 8:00,Washington_and_Village_Shop_Center,NB,742
10/31/2024 8:00,Washington_and_Village_Shop_Center,SB,616
10/31/2024 9:00,Washington_and_Village_Shop_Center,NB,533
10/31/2024 9:00,Washington_and_Village_Shop_Center,SB,464
