local_datetime,intersection_id,direction,total_volume
10/30/2024 0:00,Washingtonst_and_Ave52,NB,0
10/30/2024 0:00,Washingtonst_and_Ave52,SB,0
10/30/2024 1:00,Washingtonst_and_Ave52,NB,0
10/30/2024 1:00,Washingtonst_and_Ave52,SB,0
10/30/2024 2:00,Washingtonst_and_Ave52,NB,0
10/30/2024 2:00,Washingtonst_and_Ave52,SB,0
10/30/2024 3:00,Washingtonst_and_Ave52,NB,0
10/30/2024 3:00,Washingtonst_and_Ave52,SB,0
10/30/2024 4:00,Washingtonst_and_Ave52,NB,0
10/30/2024 4:00,Washingtonst_and_Ave52,SB,0
10/30/2024 5:00,Washingtonst_and_Ave52,NB,2
10/30/2024 5:00,Washingtonst_and_Ave52,SB,28
10/30/2024 6:00,Washingtonst_and_Ave52,NB,26
10/30/2024 6:00,Washingtonst_and_Ave52,SB,219
10/30/2024 7:00,Washingtonst_and_Ave52,NB,20
10/30/2024 7:00,Washingtonst_and_Ave52,SB,437
10/30/2024 8:00,Washingtonst_and_Ave52,NB,23
10/30/2024 8:00,Washingtonst_and_Ave52,SB,470
10/30/2024 9:00,Washingtonst_and_Ave52,NB,38
10/30/2024 9:00,Washingtonst_and_Ave52,SB,436
10/30/2024 10:00,Washingtonst_and_Ave52,NB,37
10/30/2024 10:00,Washingtonst_and_Ave52,SB,427
10/30/2024 11:00,Washingtonst_and_Ave52,NB,35
10/30/2024 11:00,Washingtonst_and_Ave52,SB,480
10/30/2024 12:00,Washingtonst_and_Ave52,NB,31
10/30/2024 12:00,Washingtonst_and_Ave52,SB,506
10/30/2024 13:00,Washingtonst_and_Ave52,NB,48
10/30/2024 13:00,Washingtonst_and_Ave52,SB,542
10/30/2024 14:00,Washingtonst_and_Ave52,NB,33
10/30/2024 14:00,Washingtonst_and_Ave52,SB,636
10/30/2024 15:00,Washingtonst_and_Ave52,NB,39
10/30/2024 15:00,Washingtonst_and_Ave52,SB,630
10/30/2024 16:00,Washingtonst_and_Ave52,NB,36
10/30/2024 16:00,Washingtonst_and_Ave52,SB,676
10/30/2024 17:00,Washingtonst_and_Ave52,NB,43
10/30/2024 17:00,Washingtonst_and_Ave52,SB,770
10/30/2024 18:00,Washingtonst_and_Ave52,NB,39
10/30/2024 18:00,Washingtonst_and_Ave52,SB,414
10/30/2024 19:00,Washingtonst_and_Ave52,NB,18
10/30/2024 19:00,Washingtonst_and_Ave52,SB,318
10/30/2024 20:00,Washingtonst_and_Ave52,NB,4
10/30/2024 20:00,Washingtonst_and_Ave52,SB,212
10/30/2024 21:00,Washingtonst_and_Ave52,NB,18
10/30/2024 21:00,Washingtonst_and_Ave52,SB,206
10/30/2024 22:00,Washingtonst_and_Ave52,NB,10
10/30/2024 22:00,Washingtonst_and_Ave52,SB,139
10/30/2024 23:00,Washingtonst_and_Ave52,NB,3
10/30/2024 23:00,Washingtonst_and_Ave52,SB,65
10/31/2024 0:00,Washingtonst_and_Ave52,NB,0
10/31/2024 0:00,Washingtonst_and_Ave52,SB,33
10/31/2024 1:00,Washingtonst_and_Ave52,NB,1
10/31/2024 1:00,Washingtonst_and_Ave52,SB,25
10/31/2024 2:00,Washingtonst_and_Ave52,NB,0
10/31/2024 2:00,Washingtonst_and_Ave52,SB,10
10/31/2024 3:00,Washingtonst_and_Ave52,NB,1
10/31/2024 3:00,Washingtonst_and_Ave52,SB,11
10/31/2024 4:00,Washingtonst_and_Ave52,NB,2
10/31/2024 4:00,Washingtonst_and_Ave52,SB,25
10/31/2024 5:00,Washingtonst_and_Ave52,NB,10
10/31/2024 5:00,Washingtonst_and_Ave52,SB,76
10/31/2024 6:00,Washingtonst_and_Ave52,NB,25
10/31/2024 6:00,Washingtonst_and_Ave52,SB,191
10/31/2024 7:00,Washingtonst_and_Ave52,NB,19
10/31/2024 7:00,Washingtonst_and_Ave52,SB,470
10/31/2024 8:00,Washingtonst_and_Ave52,NB,24
10/31/2024 8:00,Washingtonst_and_Ave52,SB,533
10/31/2024 9:00,Washingtonst_and_Ave52,NB,37
10/31/2024 9:00,Washingtonst_and_Ave52,SB,396
10/31/2024 10:00,Washingtonst_and_Ave52,NB,46
10/31/2024 10:00,Washingtonst_and_Ave52,SB,447
10/31/2024 11:00,Washingtonst_and_Ave52,NB,37
10/31/2024 11:00,Washingtonst_and_Ave52,SB,469
10/31/2024 12:00,Washingtonst_and_Ave52,NB,27
10/31/2024 12:00,Washingtonst_and_Ave52,SB,491
10/31/2024 13:00,Washingtonst_and_Ave52,NB,45
10/31/2024 13:00,Washingtonst_and_Ave52,SB,563
10/31/2024 14:00,Washingtonst_and_Ave52,NB,47
10/31/2024 14:00,Washingtonst_and_Ave52,SB,595
10/31/2024 15:00,Washingtonst_and_Ave52,NB,37
10/31/2024 15:00,Washingtonst_and_Ave52,SB,657
10/31/2024 16:00,Washingtonst_and_Ave52,NB,38
10/31/2024 16:00,Washingtonst_and_Ave52,SB,680
10/31/2024 17:00,Washingtonst_and_Ave52,NB,33
10/31/2024 17:00,Washingtonst_and_Ave52,SB,726
10/31/2024 18:00,Washingtonst_and_Ave52,NB,31
10/31/2024 18:00,Washingtonst_and_Ave52,SB,396
10/31/2024 19:00,Washingtonst_and_Ave52,NB,11
10/31/2024 19:00,Washingtonst_and_Ave52,SB,292
10/31/2024 20:00,Washingtonst_and_Ave52,NB,5
10/31/2024 20:00,Washingtonst_and_Ave52,SB,284
10/31/2024 21:00,Washingtonst_and_Ave52,NB,10
10/31/2024 21:00,Washingtonst_and_Ave52,SB,221
10/31/2024 22:00,Washingtonst_and_Ave52,NB,4
10/31/2024 22:00,Washingtonst_and_Ave52,SB,147
10/31/2024 23:00,Washingtonst_and_Ave52,NB,4
10/31/2024 23:00,Washingtonst_and_Ave52,SB,90
11/1/2024 0:00,Washingtonst_and_Ave52,NB,0
11/1/2024 0:00,Washingtonst_and_Ave52,SB,49
11/1/2024 1:00,Washingtonst_and_Ave52,NB,2
11/1/2024 1:00,Washingtonst_and_Ave52,SB,24
11/1/2024 2:00,Washingtonst_and_Ave52,NB,1
11/1/2024 2:00,Washingtonst_and_Ave52,SB,20
11/1/2024 3:00,Washingtonst_and_Ave52,NB,1
11/1/2024 3:00,Washingtonst_and_Ave52,SB,14
11/1/2024 4:00,Washingtonst_and_Ave52,NB,0
11/1/2024 4:00,Washingtonst_and_Ave52,SB,28
11/1/2024 5:00,Washingtonst_and_Ave52,NB,6
11/1/2024 5:00,Washingtonst_and_Ave52,SB,85
11/1/2024 6:00,Washingtonst_and_Ave52,NB,18
11/1/2024 6:00,Washingtonst_and_Ave52,SB,195
11/1/2024 7:00,Washingtonst_and_Ave52,NB,20
11/1/2024 7:00,Washingtonst_and_Ave52,SB,425
11/1/2024 8:00,Washingtonst_and_Ave52,NB,27
11/1/2024 8:00,Washingtonst_and_Ave52,SB,490
11/1/2024 9:00,Washingtonst_and_Ave52,NB,29
11/1/2024 9:00,Washingtonst_and_Ave52,SB,434
11/1/2024 10:00,Washingtonst_and_Ave52,NB,40
11/1/2024 10:00,Washingtonst_and_Ave52,SB,451
11/1/2024 11:00,Washingtonst_and_Ave52,NB,34
11/1/2024 11:00,Washingtonst_and_Ave52,SB,506
11/1/2024 12:00,Washingtonst_and_Ave52,NB,39
11/1/2024 12:00,Washingtonst_and_Ave52,SB,527
11/1/2024 13:00,Washingtonst_and_Ave52,NB,39
11/1/2024 13:00,Washingtonst_and_Ave52,SB,549
11/1/2024 14:00,Washingtonst_and_Ave52,NB,45
11/1/2024 14:00,Washingtonst_and_Ave52,SB,639
11/1/2024 15:00,Washingtonst_and_Ave52,NB,42
11/1/2024 15:00,Washingtonst_and_Ave52,SB,711
11/1/2024 16:00,Washingtonst_and_Ave52,NB,50
11/1/2024 16:00,Washingtonst_and_Ave52,SB,679
11/1/2024 17:00,Washingtonst_and_Ave52,NB,61
11/1/2024 17:00,Washingtonst_and_Ave52,SB,681
11/1/2024 18:00,Washingtonst_and_Ave52,NB,55
11/1/2024 18:00,Washingtonst_and_Ave52,SB,345
11/1/2024 19:00,Washingtonst_and_Ave52,NB,12
11/1/2024 19:00,Washingtonst_and_Ave52,SB,321
11/1/2024 20:00,Washingtonst_and_Ave52,NB,7
11/1/2024 20:00,Washingtonst_and_Ave52,SB,243
11/1/2024 21:00,Washingtonst_and_Ave52,NB,12
11/1/2024 21:00,Washingtonst_and_Ave52,SB,216
11/1/2024 22:00,Washingtonst_and_Ave52,NB,11
11/1/2024 22:00,Washingtonst_and_Ave52,SB,196
11/1/2024 23:00,Washingtonst_and_Ave52,NB,7
11/1/2024 23:00,Washingtonst_and_Ave52,SB,120
11/2/2024 0:00,Washingtonst_and_Ave52,NB,1
11/2/2024 0:00,Washingtonst_and_Ave52,SB,70
11/2/2024 1:00,Washingtonst_and_Ave52,NB,1
11/2/2024 1:00,Washingtonst_and_Ave52,SB,44
11/2/2024 2:00,Washingtonst_and_Ave52,NB,1
11/2/2024 2:00,Washingtonst_and_Ave52,SB,28
11/2/2024 3:00,Washingtonst_and_Ave52,NB,0
11/2/2024 3:00,Washingtonst_and_Ave52,SB,6
11/2/2024 4:00,Washingtonst_and_Ave52,NB,1
11/2/2024 4:00,Washingtonst_and_Ave52,SB,14
11/2/2024 5:00,Washingtonst_and_Ave52,NB,8
11/2/2024 5:00,Washingtonst_and_Ave52,SB,42
11/2/2024 6:00,Washingtonst_and_Ave52,NB,8
11/2/2024 6:00,Washingtonst_and_Ave52,SB,95
11/2/2024 7:00,Washingtonst_and_Ave52,NB,9
11/2/2024 7:00,Washingtonst_and_Ave52,SB,246
11/2/2024 8:00,Washingtonst_and_Ave52,NB,20
11/2/2024 8:00,Washingtonst_and_Ave52,SB,336
11/2/2024 9:00,Washingtonst_and_Ave52,NB,36
11/2/2024 9:00,Washingtonst_and_Ave52,SB,387
11/2/2024 10:00,Washingtonst_and_Ave52,NB,34
11/2/2024 10:00,Washingtonst_and_Ave52,SB,462
11/2/2024 11:00,Washingtonst_and_Ave52,NB,26
11/2/2024 11:00,Washingtonst_and_Ave52,SB,460
11/2/2024 12:00,Washingtonst_and_Ave52,NB,19
11/2/2024 12:00,Washingtonst_and_Ave52,SB,444
11/2/2024 13:00,Washingtonst_and_Ave52,NB,37
11/2/2024 13:00,Washingtonst_and_Ave52,SB,539
11/2/2024 14:00,Washingtonst_and_Ave52,NB,38
11/2/2024 14:00,Washingtonst_and_Ave52,SB,563
11/2/2024 15:00,Washingtonst_and_Ave52,NB,29
11/2/2024 15:00,Washingtonst_and_Ave52,SB,545
11/2/2024 16:00,Washingtonst_and_Ave52,NB,46
11/2/2024 16:00,Washingtonst_and_Ave52,SB,498
11/2/2024 17:00,Washingtonst_and_Ave52,NB,29
11/2/2024 17:00,Washingtonst_and_Ave52,SB,522
11/2/2024 18:00,Washingtonst_and_Ave52,NB,21
11/2/2024 18:00,Washingtonst_and_Ave52,SB,330
11/2/2024 19:00,Washingtonst_and_Ave52,NB,26
11/2/2024 19:00,Washingtonst_and_Ave52,SB,285
11/2/2024 20:00,Washingtonst_and_Ave52,NB,22
