local_datetime,NB_total_volume,SB_total_volume
10/30/2024 0:00,0,0
10/30/2024 1:00,0,0
10/30/2024 2:00,0,0
10/30/2024 3:00,0,0
10/30/2024 4:00,0,0
10/30/2024 5:00,101,20
10/30/2024 6:00,459,166
10/30/2024 7:00,1184,297
10/30/2024 8:00,1250,485
10/30/2024 9:00,1068,421
10/30/2024 10:00,1014,410
10/30/2024 11:00,981,495
10/30/2024 12:00,943,565
10/30/2024 13:00,1029,571
10/30/2024 14:00,1045,627
10/30/2024 15:00,1051,743
10/30/2024 16:00,971,666
10/30/2024 17:00,961,639
10/30/2024 18:00,604,490
10/30/2024 19:00,414,366
10/30/2024 20:00,292,310
10/30/2024 21:00,295,264
10/30/2024 22:00,146,179
10/30/2024 23:00,76,89
10/31/2024 0:00,40,37
10/31/2024 1:00,25,24
10/31/2024 2:00,27,6
10/31/2024 3:00,45,10
10/31/2024 4:00,114,15
10/31/2024 5:00,239,63
10/31/2024 6:00,413,188
10/31/2024 7:00,1168,294
10/31/2024 8:00,1240,492
10/31/2024 9:00,988,440
10/31/2024 10:00,1073,440
10/31/2024 11:00,1042,550
10/31/2024 12:00,1036,574
10/31/2024 13:00,986,619
10/31/2024 14:00,1000,690
10/31/2024 15:00,1083,766
10/31/2024 16:00,934,727
10/31/2024 17:00,959,590
10/31/2024 18:00,685,457
10/31/2024 19:00,403,404
10/31/2024 20:00,383,345
10/31/2024 21:00,321,309
10/31/2024 22:00,192,169
10/31/2024 23:00,95,111
11/1/2024 0:00,64,60
11/1/2024 1:00,40,36
11/1/2024 2:00,33,26
11/1/2024 3:00,53,24
11/1/2024 4:00,107,21
11/1/2024 5:00,200,70
11/1/2024 6:00,377,166
11/1/2024 7:00,1108,278
11/1/2024 8:00,1212,531
11/1/2024 9:00,1023,452
11/1/2024 10:00,1074,483
11/1/2024 11:00,1018,565
11/1/2024 12:00,979,595
11/1/2024 13:00,1047,698
11/1/2024 14:00,1007,740
11/1/2024 15:00,1180,749
11/1/2024 16:00,893,710
11/1/2024 17:00,996,608
11/1/2024 18:00,659,485
11/1/2024 19:00,421,437
11/1/2024 20:00,340,392
11/1/2024 21:00,308,362
11/1/2024 22:00,234,296
11/1/2024 23:00,137,201
11/2/2024 0:00,75,98
11/2/2024 1:00,51,70
11/2/2024 2:00,26,34
11/2/2024 3:00,36,23
11/2/2024 4:00,57,25
11/2/2024 5:00,99,41
11/2/2024 6:00,219,84
11/2/2024 7:00,526,154
11/2/2024 8:00,718,265
11/2/2024 9:00,993,262
11/2/2024 10:00,1056,402
11/2/2024 11:00,1012,369
11/2/2024 12:00,1001,495
11/2/2024 13:00,922,606
11/2/2024 14:00,869,563
11/2/2024 15:00,758,520
11/2/2024 16:00,785,530
11/2/2024 17:00,696,415
11/2/2024 18:00,521,431
11/2/2024 19:00,388,375
11/2/2024 20:00,326,377
11/2/2024 21:00,287,320
11/2/2024 22:00,241,277
11/2/2024 23:00,160,199
11/3/2024 0:00,107,96
11/3/2024 1:00,86,119
11/3/2024 2:00,32,23
11/3/2024 3:00,45,29
11/3/2024 4:00,60,22
11/3/2024 5:00,113,45
11/3/2024 6:00,238,79
11/3/2024 7:00,473,158
11/3/2024 8:00,794,308
11/3/2024 9:00,947,323
11/3/2024 10:00,1029,438
11/3/2024 11:00,1174,498
11/3/2024 12:00,924,470
11/3/2024 13:00,1003,451
11/3/2024 14:00,842,410
11/3/2024 15:00,776,390
11/3/2024 16:00,663,304
11/3/2024 17:00,557,435
11/3/2024 18:00,406,416
11/3/2024 19:00,301,356
11/3/2024 20:00,251,297
11/3/2024 21:00,219,217
11/3/2024 22:00,151,164
11/3/2024 23:00,93,124
11/4/2024 0:00,40,49
11/4/2024 1:00,29,26
11/4/2024 2:00,25,20
11/4/2024 3:00,57,22
11/4/2024 4:00,115,37
11/4/2024 5:00,229,76
11/4/2024 6:00,555,179
11/4/2024 7:00,1209,393
11/4/2024 8:00,1259,585
11/4/2024 9:00,1103,453
11/4/2024 10:00,1124,531
